yes-answer,time,distance,intensity,difference
1,1.261,0,10,-1.0
0,0.5720000000000001,0,10,-1.0
0,7.081,0,10,-1.0
0,0.612,0,10,-1.0
0,0.526,0,10,-1.0
1,2.559,0,10,-1.0
1,0.648,0,10,-1.0
1,1.641,0,10,-1.0
0,0.807,0,10,-1.0
0,0.516,0,10,-1.0
0,0.429,0,10,-0.775
0,0.921,0,10,-0.775
1,0.536,0,10,-0.775
0,1.112,0,10,-0.775
1,0.591,0,10,-0.775
0,0.938,0,10,-0.775
1,0.464,0,10,-0.775
1,0.525,0,10,-0.775
0,0.5539999999999999,0,10,-0.775
0,0.664,0,10,-0.775
1,0.436,0,10,-0.55
1,0.581,0,10,-0.55
0,0.649,0,10,-0.55
0,0.591,0,10,-0.55
0,1.578,0,10,-0.55
0,0.757,0,10,-0.55
0,1.197,0,10,-0.55
1,0.503,0,10,-0.55
1,0.499,0,10,-0.55
1,1.125,0,10,-0.55
0,1.037,0,10,-0.3250000000000001
1,0.593,0,10,-0.3250000000000001
1,0.435,0,10,-0.3250000000000001
0,2.669,0,10,-0.3250000000000001
0,1.648,0,10,-0.3250000000000001
0,0.63,0,10,-0.3250000000000001
1,1.222,0,10,-0.3250000000000001
1,0.506,0,10,-0.3250000000000001
0,2.167,0,10,-0.3250000000000001
1,0.477,0,10,-0.3250000000000001
1,2.289,0,10,-0.10000000000000007
1,0.434,0,10,-0.10000000000000007
1,1.484,0,10,-0.10000000000000007
0,0.481,0,10,-0.10000000000000007
1,0.4970000000000001,0,10,-0.10000000000000007
1,1.1840000000000002,0,10,-0.10000000000000007
0,1.218,0,10,-0.10000000000000007
0,0.62,0,10,-0.10000000000000007
0,0.5760000000000001,0,10,-0.10000000000000007
0,0.748,0,10,-0.10000000000000007
0,1.547,0,10,0.1
1,2.066,0,10,0.1
0,1.747,0,10,0.1
0,1.48,0,10,0.1
1,0.5329999999999999,0,10,0.1
1,0.568,0,10,0.1
1,0.635,0,10,0.1
0,0.685,0,10,0.1
1,0.713,0,10,0.1
0,0.46,0,10,0.1
1,0.918,0,10,0.325
0,0.5920000000000001,0,10,0.325
1,1.6869999999999998,0,10,0.325
0,2.806,0,10,0.325
0,1.261,0,10,0.325
1,1.4240000000000002,0,10,0.325
0,1.141,0,10,0.325
0,0.62,0,10,0.325
0,1.215,0,10,0.325
0,0.603,0,10,0.325
1,2.103,0,10,0.55
1,0.5770000000000001,0,10,0.55
1,1.3159999999999998,0,10,0.55
1,1.197,0,10,0.55
1,0.8240000000000001,0,10,0.55
0,0.604,0,10,0.55
0,0.993,0,10,0.55
1,0.659,0,10,0.55
0,0.402,0,10,0.55
1,0.392,0,10,0.55
1,1.7,0,10,0.775
1,2.05,0,10,0.775
1,1.535,0,10,0.775
1,1.114,0,10,0.775
1,2.069,0,10,0.775
1,0.501,0,10,0.775
1,0.503,0,10,0.775
0,0.583,0,10,0.775
0,0.631,0,10,0.775
0,0.604,0,10,0.775
0,1.717,0,10,1.0
1,2.302,0,10,1.0
1,1.511,0,10,1.0
1,0.715,0,10,1.0
0,1.188,0,10,1.0
1,1.205,0,10,1.0
1,1.71,0,10,1.0
0,0.48,0,10,1.0
1,0.591,0,10,1.0
0,0.523,0,10,1.0
0,0.609,50,10,-2.0
1,0.6809999999999999,50,10,-2.0
1,0.932,50,10,-2.0
1,1.013,50,10,-2.0
1,0.515,50,10,-2.0
1,1.1840000000000002,50,10,-2.0
0,0.7509999999999999,50,10,-2.0
1,0.472,50,10,-2.0
0,1.4369999999999998,50,10,-2.0
1,0.541,50,10,-2.0
1,0.393,50,10,-1.525
0,0.516,50,10,-1.525
1,1.4680000000000002,50,10,-1.525
0,0.8029999999999999,50,10,-1.525
1,0.57,50,10,-1.525
0,1.123,50,10,-1.525
1,0.5920000000000001,50,10,-1.525
0,0.3720000000000001,50,10,-1.525
0,0.955,50,10,-1.525
1,0.529,50,10,-1.525
1,0.736,50,10,-1.0499999999999998
0,30.994,50,10,-1.0499999999999998
1,0.57,50,10,-1.0499999999999998
0,1.6969999999999998,50,10,-1.0499999999999998
0,0.635,50,10,-1.0499999999999998
0,2.418,50,10,-1.0499999999999998
1,0.501,50,10,-1.0499999999999998
0,0.674,50,10,-1.0499999999999998
0,1.439,50,10,-1.0499999999999998
1,0.475,50,10,-1.0499999999999998
1,0.569,50,10,-0.5749999999999997
1,0.547,50,10,-0.5749999999999997
0,0.54,50,10,-0.5749999999999997
0,1.3769999999999998,50,10,-0.5749999999999997
1,0.728,50,10,-0.5749999999999997
0,0.907,50,10,-0.5749999999999997
0,1.4369999999999998,50,10,-0.5749999999999997
0,0.973,50,10,-0.5749999999999997
1,0.475,50,10,-0.5749999999999997
