yes-answer,time,distance,intensity,difference
0,2.454,0,10,-1.0
0,1.605,0,10,-1.0
0,1.931,0,10,-1.0
0,4.553,0,10,-1.0
0,0.956,0,10,-1.0
0,1.836,0,10,-1.0
0,2.029,0,10,-1.0
0,1.073,0,10,-1.0
0,1.041,0,10,-1.0
0,11.453,0,10,-1.0
0,13.189,0,10,-0.775
0,2.843,0,10,-0.775
0,1.644,0,10,-0.775
0,1.69,0,10,-0.775
0,0.855,0,10,-0.775
0,1.088,0,10,-0.775
0,1.161,0,10,-0.775
0,6.875,0,10,-0.775
0,2.677,0,10,-0.775
0,1.548,0,10,-0.775
1,1.602,0,10,-0.55
0,1.435,0,10,-0.55
0,1.4469999999999998,0,10,-0.55
0,1.978,0,10,-0.55
0,1.734,0,10,-0.55
0,2.191,0,10,-0.55
1,1.787,0,10,-0.55
0,3.059,0,10,-0.55
0,3.722,0,10,-0.55
0,2.265,0,10,-0.3250000000000001
0,1.849,0,10,-0.3250000000000001
0,3.344,0,10,-0.3250000000000001
0,1.513,0,10,-0.3250000000000001
0,2.145,0,10,-0.3250000000000001
0,1.737,0,10,-0.3250000000000001
0,1.733,0,10,-0.3250000000000001
0,1.767,0,10,-0.3250000000000001
0,1.153,0,10,-0.3250000000000001
0,1.304,0,10,-0.3250000000000001
0,1.368,0,10,-0.10000000000000007
0,2.198,0,10,-0.10000000000000007
1,1.063,0,10,-0.10000000000000007
0,1.745,0,10,-0.10000000000000007
0,2.344,0,10,-0.10000000000000007
0,2.944,0,10,-0.10000000000000007
0,1.876,0,10,-0.10000000000000007
1,0.83,0,10,-0.10000000000000007
0,2.3,0,10,-0.10000000000000007
1,10.184,0,10,-0.10000000000000007
1,6.565,0,10,0.1
1,2.898,0,10,0.1
1,1.607,0,10,0.1
1,2.373,0,10,0.1
0,1.524,0,10,0.1
1,1.3130000000000002,0,10,0.1
1,1.4580000000000002,0,10,0.1
1,3.544,0,10,0.1
0,1.6,0,10,0.1
1,1.669,0,10,0.1
1,1.735,0,10,0.325
1,2.707,0,10,0.325
1,2.116,0,10,0.325
0,3.529,0,10,0.325
1,2.526,0,10,0.325
1,1.413,0,10,0.325
1,1.794,0,10,0.325
0,1.358,0,10,0.325
0,2.769,0,10,0.325
0,3.875,0,10,0.325
0,2.685,0,10,0.55
1,1.7380000000000002,0,10,0.55
1,7.305,0,10,0.55
1,1.378,0,10,0.55
1,1.921,0,10,0.55
0,1.226,0,10,0.55
1,1.171,0,10,0.55
0,2.875,0,10,0.55
1,1.318,0,10,0.55
1,2.242,0,10,0.55
1,4.383,0,10,0.775
1,3.135,0,10,0.775
1,1.574,0,10,0.775
1,2.515,0,10,0.775
1,1.523,0,10,0.775
1,1.382,0,10,0.775
0,1.123,0,10,0.775
0,1.311,0,10,0.775
0,1.388,0,10,0.775
1,1.668,0,10,0.775
1,1.4680000000000002,0,10,1.0
1,1.836,0,10,1.0
1,1.135,0,10,1.0
1,19.885,0,10,1.0
1,1.838,0,10,1.0
1,10.009,0,10,1.0
1,1.53,0,10,1.0
0,1.194,0,10,1.0
1,1.14,0,10,1.0
1,0.929,0,10,1.0
0,3.975,50,10,-2.0
0,4.9,50,10,-2.0
0,1.494,50,10,-2.0
0,1.927,50,10,-2.0
0,1.833,50,10,-2.0
0,1.077,50,10,-2.0
0,1.211,50,10,-2.0
0,3.571,50,10,-2.0
0,1.853,50,10,-2.0
0,1.096,50,10,-2.0
0,2.028,50,10,-1.525
0,1.711,50,10,-1.525
0,1.37,50,10,-1.525
0,2.518,50,10,-1.525
0,1.537,50,10,-1.525
0,1.179,50,10,-1.525
1,0.175,50,10,-1.525
0,1.243,50,10,-1.525
0,0.997,50,10,-1.525
0,1.518,50,10,-1.525
0,2.265,50,10,-1.0499999999999998
1,2.12,50,10,-1.0499999999999998
0,1.666,50,10,-1.0499999999999998
0,1.802,50,10,-1.0499999999999998
0,1.558,50,10,-1.0499999999999998
0,1.704,50,10,-1.0499999999999998
1,1.269,50,10,-1.0499999999999998
0,1.301,50,10,-1.0499999999999998
0,2.34,50,10,-1.0499999999999998
0,1.666,50,10,-0.5749999999999997
1,2.435,50,10,-0.5749999999999997
1,1.668,50,10,-0.5749999999999997
0,4.789,50,10,-0.5749999999999997
0,1.953,50,10,-0.5749999999999997
0,2.452,50,10,-0.5749999999999997
0,2.371,50,10,-0.5749999999999997
0,1.335,50,10,-0.5749999999999997
0,1.786,50,10,-0.5749999999999997
0,1.264,50,10,-0.5749999999999997
1,2.1830000000000003,50,10,-0.09999999999999963
0,3.575,50,10,-0.09999999999999963
0,2.209,50,10,-0.09999999999999963
1,1.165,50,10,-0.09999999999999963
0,7.1960000000000015,50,10,-0.09999999999999963
0,1.275,50,10,-0.09999999999999963
1,2.356,50,10,-0.09999999999999963
0,1.416,50,10,-0.09999999999999963
1,1.739,50,10,-0.09999999999999963
1,1.345,50,10,-0.09999999999999963
1,3.278,50,10,0.1
1,3.536,50,10,0.1
1,1.886,50,10,0.1
1,2.315,50,10,0.1
1,3.58,50,10,0.1
1,1.743,50,10,0.1
0,13.542,50,10,0.1
1,7.641,50,10,0.1
1,9.321,50,10,0.1
1,2.057,50,10,0.1
1,2.063,50,10,0.575
1,3.097,50,10,0.575
1,1.558,50,10,0.575
0,2.887,50,10,0.575
0,1.945,50,10,0.575
1,2.396,50,10,0.575
1,11.729,50,10,0.575
1,1.6369999999999998,50,10,0.575
1,2.069,50,10,0.575
1,4.305,50,10,0.575
1,2.659,50,10,1.05
1,2.259,50,10,1.05
1,2.076,50,10,1.05
1,3.237,50,10,1.05
1,1.356,50,10,1.05
1,1.947,50,10,1.05
1,2.003,50,10,1.05
1,1.824,50,10,1.05
1,1.739,50,10,1.05
0,1.339,50,10,1.05
1,1.422,50,10,1.525
1,1.263,50,10,1.525
1,1.16,50,10,1.525
1,2.6260000000000003,50,10,1.525
1,2.342,50,10,1.525
1,2.141,50,10,1.525
1,4.025,50,10,1.525
1,3.823,50,10,1.525
1,2.218,50,10,1.525
1,2.652,50,10,1.525
1,4.322,50,10,2.0
1,1.692,50,10,2.0
1,1.097,50,10,2.0
1,1.871,50,10,2.0
1,1.646,50,10,2.0
1,1.594,50,10,2.0
1,1.823,50,10,2.0
1,2.3680000000000003,50,10,2.0
1,2.979,50,10,2.0
1,2.419,50,10,2.0
0,2.244,100,10,-3.0
0,1.165,100,10,-3.0
0,1.989,100,10,-3.0
0,1.26,100,10,-3.0
0,1.257,100,10,-3.0
0,1.832,100,10,-3.0
0,1.266,100,10,-3.0
0,1.097,100,10,-3.0
0,2.391,100,10,-3.0
0,0.937,100,10,-3.0
0,4.4030000000000005,100,10,-2.275
0,1.95,100,10,-2.275
0,1.734,100,10,-2.275
0,1.731,100,10,-2.275
0,0.967,100,10,-2.275
0,2.419,100,10,-2.275
0,4.705,100,10,-2.275
0,1.071,100,10,-2.275
0,1.412,100,10,-2.275
0,5.364,100,10,-1.5499999999999998
0,1.558,100,10,-1.5499999999999998
0,2.052,100,10,-1.5499999999999998
0,1.203,100,10,-1.5499999999999998
0,1.423,100,10,-1.5499999999999998
0,1.695,100,10,-1.5499999999999998
0,1.079,100,10,-1.5499999999999998
0,4.54,100,10,-1.5499999999999998
0,1.666,100,10,-1.5499999999999998
0,1.14,100,10,-1.5499999999999998
0,2.134,100,10,-0.8249999999999997
0,11.135,100,10,-0.8249999999999997
0,1.467,100,10,-0.8249999999999997
0,3.2,100,10,-0.8249999999999997
0,23.056,100,10,-0.8249999999999997
0,1.634,100,10,-0.8249999999999997
0,0.853,100,10,-0.8249999999999997
0,2.247,100,10,-0.8249999999999997
1,2.298,100,10,-0.8249999999999997
0,1.5219999999999998,100,10,-0.8249999999999997
1,2.282,100,10,-0.09999999999999963
0,2.335,100,10,-0.09999999999999963
1,1.7719999999999998,100,10,-0.09999999999999963
0,2.441,100,10,-0.09999999999999963
0,2.6010000000000004,100,10,-0.09999999999999963
1,2.347,100,10,-0.09999999999999963
0,1.052,100,10,-0.09999999999999963
1,1.979,100,10,-0.09999999999999963
0,1.833,100,10,-0.09999999999999963
0,1.33,100,10,-0.09999999999999963
1,2.728,100,10,0.1
1,2.975,100,10,0.1
1,15.943,100,10,0.1
1,3.282,100,10,0.1
0,4.984,100,10,0.1
1,4.89,100,10,0.1
0,2.724,100,10,0.1
0,1.715,100,10,0.1
1,2.588,100,10,0.1
1,2.386,100,10,0.1
1,5.362,100,10,0.825
1,4.168,100,10,0.825
1,1.477,100,10,0.825
1,3.45,100,10,0.825
1,1.264,100,10,0.825
0,2.062,100,10,0.825
1,1.785,100,10,0.825
1,1.65,100,10,0.825
1,1.524,100,10,0.825
0,2.678,100,10,0.825
1,3.973,100,10,1.55
1,56.042,100,10,1.55
1,2.249,100,10,1.55
1,1.757,100,10,1.55
1,1.503,100,10,1.55
1,1.0759999999999998,100,10,1.55
0,2.013,100,10,1.55
1,1.499,100,10,1.55
1,1.394,100,10,1.55
1,1.399,100,10,1.55
1,2.66,100,10,2.275
1,2.006,100,10,2.275
1,2.255,100,10,2.275
1,2.05,100,10,2.275
1,1.4680000000000002,100,10,2.275
1,0.972,100,10,2.275
1,1.949,100,10,2.275
1,3.112,100,10,2.275
1,4.012,100,10,2.275
1,1.381,100,10,2.275
1,1.379,100,10,3.0
1,2.0540000000000003,100,10,3.0
1,2.636,100,10,3.0
1,3.438,100,10,3.0
1,1.82,100,10,3.0
1,2.039,100,10,3.0
1,1.429,100,10,3.0
1,1.7180000000000002,100,10,3.0
1,11.302,100,10,3.0
1,1.461,100,10,3.0
0,2.497,150,10,-4.0
0,2.0780000000000003,150,10,-4.0
0,2.932,150,10,-4.0
0,2.32,150,10,-4.0
0,2.057,150,10,-4.0
0,2.458,150,10,-4.0
0,1.419,150,10,-4.0
0,1.996,150,10,-4.0
0,1.871,150,10,-4.0
0,1.358,150,10,-4.0
0,1.513,150,10,-3.025
0,2.439,150,10,-3.025
0,1.306,150,10,-3.025
0,1.141,150,10,-3.025
0,2.043,150,10,-3.025
0,1.2009999999999998,150,10,-3.025
0,1.071,150,10,-3.025
0,1.3259999999999998,150,10,-3.025
0,2.17,150,10,-3.025
0,1.426,150,10,-3.025
0,4.5760000000000005,150,10,-2.05
0,8.573,150,10,-2.05
0,1.891,150,10,-2.05
0,1.391,150,10,-2.05
0,1.203,150,10,-2.05
0,1.787,150,10,-2.05
0,3.438,150,10,-2.05
0,2.099,150,10,-2.05
0,0.947,150,10,-2.05
0,1.3219999999999998,150,10,-2.05
