yes-answer,time,distance,intensity,difference
0,1.021,0,10,-1.0
0,0.889,0,10,-1.0
0,1.194,0,10,-1.0
0,0.976,0,10,-1.0
0,1.079,0,10,-1.0
0,1.286,0,10,-1.0
0,1.317,0,10,-1.0
0,1.999,0,10,-1.0
0,1.185,0,10,-1.0
0,1.331,0,10,-1.0
0,1.214,0,10,-0.775
0,1.509,0,10,-0.775
0,1.241,0,10,-0.775
1,0.951,0,10,-0.775
0,1.146,0,10,-0.775
0,1.142,0,10,-0.775
0,1.321,0,10,-0.775
0,1.645,0,10,-0.775
0,1.747,0,10,-0.775
0,1.327,0,10,-0.775
0,1.354,0,10,-0.55
0,2.018,0,10,-0.55
0,4.438,0,10,-0.55
0,1.015,0,10,-0.55
0,1.307,0,10,-0.55
0,1.6269999999999998,0,10,-0.55
0,1.19,0,10,-0.55
0,1.34,0,10,-0.55
0,0.992,0,10,-0.55
0,3.237,0,10,-0.55
0,1.031,0,10,-0.3250000000000001
1,1.095,0,10,-0.3250000000000001
0,1.525,0,10,-0.3250000000000001
0,5.3439999999999985,0,10,-0.3250000000000001
0,1.873,0,10,-0.3250000000000001
1,1.614,0,10,-0.3250000000000001
0,1.244,0,10,-0.3250000000000001
0,2.608,0,10,-0.3250000000000001
0,1.252,0,10,-0.3250000000000001
0,1.558,0,10,-0.3250000000000001
1,1.915,0,10,-0.10000000000000007
0,1.536,0,10,-0.10000000000000007
1,1.588,0,10,-0.10000000000000007
1,1.605,0,10,-0.10000000000000007
1,1.13,0,10,-0.10000000000000007
1,1.596,0,10,-0.10000000000000007
1,1.616,0,10,-0.10000000000000007
1,0.8420000000000001,0,10,-0.10000000000000007
0,1.4469999999999998,0,10,-0.10000000000000007
0,2.42,0,10,-0.10000000000000007
0,5.14,0,10,0.1
0,1.949,0,10,0.1
1,1.683,0,10,0.1
0,3.01,0,10,0.1
1,1.905,0,10,0.1
1,2.105,0,10,0.1
1,1.807,0,10,0.1
0,3.114,0,10,0.1
1,1.127,0,10,0.1
1,1.578,0,10,0.1
1,1.841,0,10,0.325
1,2.209,0,10,0.325
1,1.675,0,10,0.325
1,2.222,0,10,0.325
1,1.905,0,10,0.325
0,1.225,0,10,0.325
1,1.643,0,10,0.325
1,1.289,0,10,0.325
1,2.742,0,10,0.325
0,1.481,0,10,0.325
1,3.3960000000000004,0,10,0.55
1,1.85,0,10,0.55
0,2.055,0,10,0.55
1,1.897,0,10,0.55
1,1.339,0,10,0.55
1,1.727,0,10,0.55
1,1.506,0,10,0.55
1,2.607,0,10,0.55
1,1.3030000000000002,0,10,0.55
1,1.676,0,10,0.55
1,1.6130000000000002,0,10,0.775
1,2.415,0,10,0.775
1,1.5419999999999998,0,10,0.775
1,1.463,0,10,0.775
1,1.724,0,10,0.775
1,1.747,0,10,0.775
1,1.219,0,10,0.775
1,1.746,0,10,0.775
1,1.851,0,10,0.775
1,1.242,0,10,0.775
1,1.962,0,10,1.0
1,1.224,0,10,1.0
1,1.628,0,10,1.0
1,1.473,0,10,1.0
1,1.4369999999999998,0,10,1.0
1,1.639,0,10,1.0
1,1.501,0,10,1.0
1,1.339,0,10,1.0
1,1.198,0,10,1.0
1,0.939,0,10,1.0
0,1.348,50,10,-2.0
0,1.198,50,10,-2.0
0,1.0759999999999998,50,10,-2.0
0,1.413,50,10,-2.0
0,1.137,50,10,-2.0
0,1.043,50,10,-2.0
0,1.109,50,10,-2.0
0,2.139,50,10,-2.0
0,0.941,50,10,-2.0
0,1.431,50,10,-2.0
0,0.8,50,10,-1.525
0,1.138,50,10,-1.525
0,1.015,50,10,-1.525
0,1.027,50,10,-1.525
0,6.505,50,10,-1.525
0,1.144,50,10,-1.525
0,1.002,50,10,-1.525
0,1.217,50,10,-1.525
0,1.01,50,10,-1.525
0,0.925,50,10,-1.525
0,1.126,50,10,-1.0499999999999998
0,1.5219999999999998,50,10,-1.0499999999999998
0,1.104,50,10,-1.0499999999999998
0,1.203,50,10,-1.0499999999999998
0,2.272,50,10,-1.0499999999999998
0,1.212,50,10,-1.0499999999999998
0,1.405,50,10,-1.0499999999999998
0,1.123,50,10,-1.0499999999999998
0,1.186,50,10,-1.0499999999999998
1,1.331,50,10,-1.0499999999999998
1,2.399,50,10,-0.5749999999999997
1,1.206,50,10,-0.5749999999999997
0,1.166,50,10,-0.5749999999999997
0,1.74,50,10,-0.5749999999999997
1,1.272,50,10,-0.5749999999999997
0,2.463,50,10,-0.5749999999999997
0,1.239,50,10,-0.5749999999999997
0,1.538,50,10,-0.5749999999999997
0,1.47,50,10,-0.5749999999999997
0,1.648,50,10,-0.5749999999999997
1,1.907,50,10,-0.09999999999999963
1,1.291,50,10,-0.09999999999999963
0,1.412,50,10,-0.09999999999999963
1,0.975,50,10,-0.09999999999999963
0,1.143,50,10,-0.09999999999999963
1,1.335,50,10,-0.09999999999999963
0,0.892,50,10,-0.09999999999999963
0,1.491,50,10,-0.09999999999999963
1,1.251,50,10,-0.09999999999999963
0,0.933,50,10,-0.09999999999999963
1,1.978,50,10,0.1
1,3.688,50,10,0.1
0,3.263,50,10,0.1
1,2.259,50,10,0.1
0,2.53,50,10,0.1
0,1.811,50,10,0.1
0,1.809,50,10,0.1
1,2.222,50,10,0.1
1,2.84,50,10,0.1
1,2.9330000000000003,50,10,0.1
0,1.6130000000000002,50,10,0.575
1,1.401,50,10,0.575
0,1.905,50,10,0.575
1,1.723,50,10,0.575
1,1.884,50,10,0.575
1,1.362,50,10,0.575
1,1.215,50,10,0.575
1,1.761,50,10,0.575
0,1.126,50,10,0.575
1,1.227,50,10,0.575
1,1.806,50,10,1.05
1,1.534,50,10,1.05
1,1.4369999999999998,50,10,1.05
1,1.479,50,10,1.05
1,0.889,50,10,1.05
1,1.056,50,10,1.05
1,1.187,50,10,1.05
1,1.195,50,10,1.05
1,1.052,50,10,1.05
0,1.082,50,10,1.05
1,39.429,50,10,1.525
1,1.509,50,10,1.525
1,1.4069999999999998,50,10,1.525
1,2.9160000000000004,50,10,1.525
1,2.445,50,10,1.525
1,1.227,50,10,1.525
1,10.335,50,10,1.525
1,1.193,50,10,1.525
