yes-answer,time,distance,intensity,difference
0,1.482,0,10,-1.0
0,1.265,0,10,-1.0
0,1.143,0,10,-1.0
0,1.625,0,10,-1.0
0,1.394,0,10,-1.0
0,1.615,0,10,-1.0
0,0.755,0,10,-1.0
0,1.276,0,10,-1.0
0,0.922,0,10,-1.0
0,0.936,0,10,-1.0
0,1.717,0,10,-0.775
0,1.119,0,10,-0.775
0,1.418,0,10,-0.775
0,1.079,0,10,-0.775
0,0.855,0,10,-0.775
0,1.409,0,10,-0.775
0,1.658,0,10,-0.775
0,1.4480000000000002,0,10,-0.775
1,0.868,0,10,-0.775
0,1.544,0,10,-0.775
0,1.431,0,10,-0.55
0,1.298,0,10,-0.55
0,1.222,0,10,-0.55
0,0.976,0,10,-0.55
0,1.679,0,10,-0.55
0,1.36,0,10,-0.55
0,1.101,0,10,-0.55
0,1.366,0,10,-0.55
1,0.921,0,10,-0.55
0,1.21,0,10,-0.55
0,1.025,0,10,-0.3250000000000001
0,0.984,0,10,-0.3250000000000001
0,1.392,0,10,-0.3250000000000001
0,1.717,0,10,-0.3250000000000001
1,1.546,0,10,-0.3250000000000001
1,2.631,0,10,-0.3250000000000001
0,1.26,0,10,-0.3250000000000001
1,2.186,0,10,-0.3250000000000001
0,1.4880000000000002,0,10,-0.3250000000000001
0,1.011,0,10,-0.3250000000000001
1,1.46,0,10,-0.10000000000000007
1,1.555,0,10,-0.10000000000000007
0,1.255,0,10,-0.10000000000000007
0,1.52,0,10,-0.10000000000000007
1,0.8320000000000001,0,10,-0.10000000000000007
0,1.21,0,10,-0.10000000000000007
0,2.49,0,10,-0.10000000000000007
1,0.985,0,10,-0.10000000000000007
1,1.348,0,10,-0.10000000000000007
0,1.6269999999999998,0,10,-0.10000000000000007
1,1.101,0,10,0.1
1,20.363,0,10,0.1
0,1.054,0,10,0.1
0,2.708,0,10,0.1
0,1.341,0,10,0.1
1,2.2880000000000003,0,10,0.1
0,0.8590000000000001,0,10,0.1
0,1.058,0,10,0.1
0,0.952,0,10,0.1
0,1.179,0,10,0.1
1,1.47,0,10,0.325
1,1.834,0,10,0.325
1,1.471,0,10,0.325
1,1.334,0,10,0.325
1,1.7619999999999998,0,10,0.325
1,1.952,0,10,0.325
1,1.075,0,10,0.325
0,1.053,0,10,0.325
0,1.204,0,10,0.325
0,1.175,0,10,0.325
0,4.422,0,10,0.55
1,3.764,0,10,0.55
1,0.958,0,10,0.55
1,1.271,0,10,0.55
1,1.071,0,10,0.55
1,1.34,0,10,0.55
1,1.275,0,10,0.55
1,1.189,0,10,0.55
1,0.8320000000000001,0,10,0.55
1,1.5759999999999998,0,10,0.55
1,1.923,0,10,0.775
1,0.938,0,10,0.775
1,1.675,0,10,0.775
1,1.082,0,10,0.775
1,0.7709999999999999,0,10,0.775
1,1.0490000000000002,0,10,0.775
0,0.899,0,10,0.775
0,1.334,0,10,0.775
1,1.12,0,10,0.775
1,1.237,0,10,0.775
1,1.121,0,10,1.0
1,1.366,0,10,1.0
1,0.913,0,10,1.0
1,0.016,0,10,1.0
0,4.6789999999999985,0,10,1.0
0,3.012,0,10,1.0
1,2.3,0,10,1.0
1,1.619,0,10,1.0
1,1.09,0,10,1.0
1,1.007,0,10,1.0
0,1.273,50,10,-2.0
0,0.991,50,10,-2.0
0,0.8029999999999999,50,10,-2.0
0,1.237,50,10,-2.0
0,1.245,50,10,-2.0
0,2.512,50,10,-2.0
0,1.396,50,10,-2.0
0,1.4680000000000002,50,10,-2.0
0,0.946,50,10,-2.0
0,1.33,50,10,-2.0
0,1.012,50,10,-1.525
0,1.709,50,10,-1.525
0,1.223,50,10,-1.525
0,1.295,50,10,-1.525
0,1.062,50,10,-1.525
0,1.226,50,10,-1.525
0,0.93,50,10,-1.525
0,1.308,50,10,-1.525
0,0.836,50,10,-1.525
0,1.39,50,10,-1.525
0,0.931,50,10,-1.0499999999999998
0,0.934,50,10,-1.0499999999999998
1,1.127,50,10,-1.0499999999999998
1,1.61,50,10,-1.0499999999999998
0,2.052,50,10,-1.0499999999999998
0,1.57,50,10,-1.0499999999999998
0,1.425,50,10,-1.0499999999999998
0,1.461,50,10,-1.0499999999999998
0,1.178,50,10,-1.0499999999999998
0,1.7,50,10,-1.0499999999999998
0,1.4280000000000002,50,10,-0.5749999999999997
0,1.63,50,10,-0.5749999999999997
0,1.4469999999999998,50,10,-0.5749999999999997
0,1.064,50,10,-0.5749999999999997
0,1.7819999999999998,50,10,-0.5749999999999997
0,1.284,50,10,-0.5749999999999997
0,1.594,50,10,-0.5749999999999997
0,1.383,50,10,-0.5749999999999997
0,1.577,50,10,-0.5749999999999997
0,1.079,50,10,-0.5749999999999997
1,1.159,50,10,-0.09999999999999963
0,1.422,50,10,-0.09999999999999963
0,1.894,50,10,-0.09999999999999963
1,1.446,50,10,-0.09999999999999963
1,1.058,50,10,-0.09999999999999963
0,1.765,50,10,-0.09999999999999963
0,0.841,50,10,-0.09999999999999963
1,1.301,50,10,-0.09999999999999963
1,1.2919999999999998,50,10,-0.09999999999999963
1,1.17,50,10,-0.09999999999999963
0,0.978,50,10,0.1
0,1.143,50,10,0.1
1,1.216,50,10,0.1
1,1.628,50,10,0.1
1,1.285,50,10,0.1
0,1.069,50,10,0.1
0,1.305,50,10,0.1
0,1.081,50,10,0.1
1,1.32,50,10,0.1
1,1.5419999999999998,50,10,0.1
0,0.939,50,10,0.575
1,1.47,50,10,0.575
1,0.7190000000000001,50,10,0.575
1,1.199,50,10,0.575
0,1.278,50,10,0.575
1,1.159,50,10,0.575
1,1.6230000000000002,50,10,0.575
1,1.491,50,10,0.575
0,1.816,50,10,0.575
1,1.38,50,10,0.575
0,7.097,50,10,1.05
1,1.007,50,10,1.05
1,1.084,50,10,1.05
1,1.01,50,10,1.05
1,0.7509999999999999,50,10,1.05
1,0.927,50,10,1.05
1,1.179,50,10,1.05
1,1.207,50,10,1.05
1,1.165,50,10,1.05
1,1.081,50,10,1.05
0,13.803,50,10,1.525
1,1.243,50,10,1.525
1,1.372,50,10,1.525
1,1.4509999999999998,50,10,1.525
1,2.517,50,10,1.525
1,0.938,50,10,1.525
1,1.989,50,10,1.525
1,0.952,50,10,1.525
0,1.219,50,10,1.525
1,2.216,50,10,1.525
1,1.166,50,10,2.0
1,1.349,50,10,2.0
1,1.088,50,10,2.0
1,1.023,50,10,2.0
1,2.025,50,10,2.0
1,1.812,50,10,2.0
1,1.133,50,10,2.0
0,0.8440000000000001,50,10,2.0
1,2.927,50,10,2.0
1,1.55,50,10,2.0
0,1.492,100,10,-3.0
1,0.847,100,10,-3.0
0,2.0780000000000003,100,10,-3.0
0,1.33,100,10,-3.0
0,1.181,100,10,-3.0
0,1.285,100,10,-3.0
0,1.456,100,10,-3.0
0,0.8290000000000001,100,10,-3.0
0,1.819,100,10,-3.0
0,0.845,100,10,-3.0
0,1.38,100,10,-2.275
0,1.393,100,10,-2.275
0,1.1840000000000002,100,10,-2.275
0,1.719,100,10,-2.275
0,0.913,100,10,-2.275
0,1.217,100,10,-2.275
0,0.843,100,10,-2.275
0,1.315,100,10,-2.275
1,0.8170000000000001,100,10,-2.275
0,1.3019999999999998,100,10,-2.275
0,1.665,100,10,-1.5499999999999998
0,1.023,100,10,-1.5499999999999998
0,1.223,100,10,-1.5499999999999998
0,1.996,100,10,-1.5499999999999998
0,1.332,100,10,-1.5499999999999998
0,1.4480000000000002,100,10,-1.5499999999999998
0,0.96,100,10,-1.5499999999999998
0,1.024,100,10,-1.5499999999999998
0,0.895,100,10,-1.5499999999999998
0,0.921,100,10,-1.5499999999999998
1,1.14,100,10,-0.8249999999999997
1,1.418,100,10,-0.8249999999999997
1,5.3279999999999985,100,10,-0.8249999999999997
0,1.41,100,10,-0.8249999999999997
0,1.565,100,10,-0.8249999999999997
0,2.3680000000000003,100,10,-0.8249999999999997
1,1.894,100,10,-0.8249999999999997
0,1.764,100,10,-0.8249999999999997
1,0.877,100,10,-0.8249999999999997
1,0.947,100,10,-0.8249999999999997
1,1.38,100,10,-0.09999999999999963
1,3.579,100,10,-0.09999999999999963
1,1.535,100,10,-0.09999999999999963
1,0.888,100,10,-0.09999999999999963
1,1.105,100,10,-0.09999999999999963
1,1.154,100,10,-0.09999999999999963
0,1.175,100,10,-0.09999999999999963
0,2.089,100,10,-0.09999999999999963
0,1.4,100,10,-0.09999999999999963
1,1.811,100,10,-0.09999999999999963
1,1.895,100,10,-0.09999999999999963
1,1.3969999999999998,100,10,0.1
0,1.826,100,10,0.1
0,5.046,100,10,0.1
1,2.44,100,10,0.1
0,1.063,100,10,0.1
0,4.654,100,10,0.1
1,1.208,100,10,0.1
0,1.176,100,10,0.1
1,1.295,100,10,0.1
1,1.078,100,10,0.1
0,1.598,100,10,0.825
1,3.519,100,10,0.825
1,1.122,100,10,0.825
0,1.258,100,10,0.825
1,1.15,100,10,0.825
0,1.4169999999999998,100,10,0.825
1,0.183,100,10,0.825
1,1.155,100,10,0.825
1,1.638,100,10,0.825
1,1.0759999999999998,100,10,0.825
1,1.0759999999999998,100,10,1.55
0,4.13,100,10,1.55
0,1.119,100,10,1.55
1,1.374,100,10,1.55
1,3.287,100,10,1.55
1,7.041,100,10,1.55
1,1.259,100,10,1.55
1,0.8420000000000001,100,10,1.55
1,1.546,100,10,1.55
1,0.81,100,10,1.55
0,3.93,100,10,2.275
1,1.056,100,10,2.275
1,1.421,100,10,2.275
1,1.339,100,10,2.275
1,0.857,100,10,2.275
1,1.026,100,10,2.275
1,1.825,100,10,2.275
1,1.5519999999999998,100,10,2.275
1,1.293,100,10,2.275
1,0.767,100,10,2.275
1,0.866,100,10,3.0
1,1.663,100,10,3.0
1,1.134,100,10,3.0
1,1.138,100,10,3.0
1,1.394,100,10,3.0
1,0.847,100,10,3.0
1,0.976,100,10,3.0
1,1.21,100,10,3.0
1,1.467,100,10,3.0
1,1.172,100,10,3.0
0,0.957,150,10,-4.0
0,1.375,150,10,-4.0
0,1.61,150,10,-4.0
0,1.032,150,10,-4.0
0,4.338,150,10,-4.0
0,1.259,150,10,-4.0
0,1.142,150,10,-4.0
0,1.162,150,10,-4.0
0,0.964,150,10,-4.0
0,0.799,150,10,-4.0
0,1.241,150,10,-3.025
0,0.999,150,10,-3.025
0,1.079,150,10,-3.025
0,1.222,150,10,-3.025
0,1.092,150,10,-3.025
0,1.6909999999999998,150,10,-3.025
0,0.807,150,10,-3.025
0,1.218,150,10,-3.025
0,0.935,150,10,-3.025
0,1.595,150,10,-3.025
0,1.017,150,10,-2.05
0,1.465,150,10,-2.05
0,1.271,150,10,-2.05
0,1.222,150,10,-2.05
0,1.021,150,10,-2.05
0,1.598,150,10,-2.05
0,2.756,150,10,-2.05
0,1.257,150,10,-2.05
0,1.188,150,10,-2.05
0,1.1740000000000002,150,10,-2.05
0,2.211,150,10,-1.0749999999999995
0,1.103,150,10,-1.0749999999999995
0,2.279,150,10,-1.0749999999999995
1,1.847,150,10,-1.0749999999999995
0,1.2819999999999998,150,10,-1.0749999999999995
0,0.98,150,10,-1.0749999999999995
0,1.2,150,10,-1.0749999999999995
0,1.259,150,10,-1.0749999999999995
0,1.803,150,10,-1.0749999999999995
0,1.079,150,10,-1.0749999999999995
0,2.262,150,10,-0.09999999999999963
0,2.763,150,10,-0.09999999999999963
0,1.2009999999999998,150,10,-0.09999999999999963
1,1.19,150,10,-0.09999999999999963
0,1.071,150,10,-0.09999999999999963
0,1.511,150,10,-0.09999999999999963
0,1.348,150,10,-0.09999999999999963
1,1.526,150,10,-0.09999999999999963
0,0.861,150,10,-0.09999999999999963
1,1.273,150,10,-0.09999999999999963
1,3.34,150,10,0.1
0,0.995,150,10,0.1
0,1.5219999999999998,150,10,0.1
1,1.18,150,10,0.1
1,1.146,150,10,0.1
0,1.5419999999999998,150,10,0.1
1,1.194,150,10,0.1
0,1.359,150,10,0.1
1,1.025,150,10,0.1
0,1.665,150,10,0.1
0,1.7919999999999998,150,10,1.075
0,2.343,150,10,1.075
1,2.094,150,10,1.075
1,1.459,150,10,1.075
1,1.517,150,10,1.075
1,1.617,150,10,1.075
1,1.103,150,10,1.075
1,1.672,150,10,1.075
1,1.194,150,10,1.075
1,1.291,150,10,1.075
0,4.963,150,10,2.05
0,1.479,150,10,2.05
1,2.062,150,10,2.05
0,1.3730000000000002,150,10,2.05
1,27.285,150,10,2.05
1,2.085,150,10,2.05
1,1.378,150,10,2.05
1,1.089,150,10,2.05
1,1.097,150,10,2.05
1,1.281,150,10,2.05
0,1.032,150,10,3.025
1,1.23,150,10,3.025
1,2.379,150,10,3.025
1,2.652,150,10,3.025
1,1.334,150,10,3.025
1,1.081,150,10,3.025
1,1.288,150,10,3.025
1,1.513,150,10,3.025
1,1.622,150,10,3.025
1,1.161,150,10,3.025
1,1.76,150,10,4.0
1,2.04,150,10,4.0
1,1.34,150,10,4.0
1,1.754,150,10,4.0
1,1.214,150,10,4.0
1,0.831,150,10,4.0
1,1.137,150,10,4.0
1,0.96,150,10,4.0
1,1.248,150,10,4.0
1,0.969,150,10,4.0
0,1.349,200,10,-5.0
0,1.439,200,10,-5.0
0,1.154,200,10,-5.0
0,1.014,200,10,-5.0
0,2.681,200,10,-5.0
0,1.04,200,10,-5.0
0,0.922,200,10,-5.0
0,1.341,200,10,-5.0
0,1.78,200,10,-5.0
0,1.144,200,10,-5.0
0,1.556,200,10,-3.775
0,1.524,200,10,-3.775
0,1.294,200,10,-3.775
0,1.129,200,10,-3.775
0,1.235,200,10,-3.775
0,11.818,200,10,-3.775
0,1.195,200,10,-3.775
0,1.3119999999999998,200,10,-3.775
0,1.28,200,10,-3.775
0,1.339,200,10,-3.775
0,1.625,200,10,-2.55
0,2.859,200,10,-2.55
0,1.508,200,10,-2.55
0,1.4780000000000002,200,10,-2.55
0,1.097,200,10,-2.55
0,1.564,200,10,-2.55
0,1.421,200,10,-2.55
0,1.212,200,10,-2.55
0,0.872,200,10,-2.55
0,0.977,200,10,-2.55
0,1.433,200,10,-1.3249999999999995
0,1.523,200,10,-1.3249999999999995
0,1.224,200,10,-1.3249999999999995
0,1.178,200,10,-1.3249999999999995
0,1.334,200,10,-1.3249999999999995
0,1.206,200,10,-1.3249999999999995
0,1.172,200,10,-1.3249999999999995
1,2.327,200,10,-1.3249999999999995
0,1.975,200,10,-1.3249999999999995
0,1.341,200,10,-1.3249999999999995
1,1.001,200,10,-0.09999999999999963
