yes-answer,time,distance,intensity,difference
0,2.615,0,10,-1.0
0,1.274,0,10,-1.0
0,1.3090000000000002,0,10,-1.0
0,1.474,0,10,-1.0
0,84.45700000000002,0,10,-1.0
0,1.419,0,10,-1.0
0,1.452,0,10,-1.0
0,1.258,0,10,-1.0
0,0.996,0,10,-1.0
0,1.48,0,10,-1.0
0,1.655,0,10,-0.775
0,1.311,0,10,-0.775
0,1.4280000000000002,0,10,-0.775
0,1.832,0,10,-0.775
0,1.187,0,10,-0.775
0,0.758,0,10,-0.775
0,1.131,0,10,-0.775
0,1.045,0,10,-0.775
0,1.663,0,10,-0.775
0,1.456,0,10,-0.775
0,2.311,0,10,-0.55
0,1.476,0,10,-0.55
0,1.118,0,10,-0.55
0,1.404,0,10,-0.55
0,1.5590000000000002,0,10,-0.55
0,1.445,0,10,-0.55
0,2.006,0,10,-0.55
0,1.3259999999999998,0,10,-0.55
0,1.28,0,10,-0.55
0,1.252,0,10,-0.55
0,5.31,0,10,-0.3250000000000001
0,0.907,0,10,-0.3250000000000001
1,1.624,0,10,-0.3250000000000001
1,6.54,0,10,-0.3250000000000001
1,2.439,0,10,-0.3250000000000001
1,0.946,0,10,-0.3250000000000001
1,2.439,0,10,-0.3250000000000001
1,0.946,0,10,-0.3250000000000001
0,2.169,0,10,-0.3250000000000001
0,1.426,0,10,-0.3250000000000001
0,1.218,0,10,-0.3250000000000001
0,1.649,0,10,-0.3250000000000001
0,2.064,0,10,-0.10000000000000007
0,1.663,0,10,-0.10000000000000007
1,1.153,0,10,-0.10000000000000007
0,1.244,0,10,-0.10000000000000007
1,1.585,0,10,-0.10000000000000007
0,1.5619999999999998,0,10,-0.10000000000000007
0,1.767,0,10,-0.10000000000000007
1,1.08,0,10,-0.10000000000000007
0,2.615,0,10,-0.10000000000000007
0,2.298,0,10,-0.10000000000000007
0,0.056,0,10,0.1
1,0.064,0,10,0.1
1,1.432,0,10,0.1
0,0.07,0,10,0.1
0,0.065,0,10,0.1
1,2.169,0,10,0.1
0,0.08800000000000001,0,10,0.1
0,0.063,0,10,0.1
1,0.101,0,10,0.1
0,0.065,0,10,0.1
0,0.073,0,10,0.325
0,0.113,0,10,0.325
0,0.168,0,10,0.325
0,50.271,0,10,0.325
0,0.07400000000000001,0,10,0.325
0,0.092,0,10,0.325
1,0.073,0,10,0.325
0,1.358,0,10,0.325
0,0.08900000000000001,0,10,0.325
0,0.081,0,10,0.325
1,0.19,0,10,0.55
1,0.068,0,10,0.55
1,0.065,0,10,0.55
0,0.059,0,10,0.55
1,1.0659999999999998,0,10,0.55
1,0.06,0,10,0.55
1,0.048,0,10,0.55
1,0.236,0,10,0.55
1,1.006,0,10,0.55
0,0.028,0,10,0.55
0,0.055,0,10,0.775
1,2.097,0,10,0.775
1,0.026,0,10,0.775
0,0.298,0,10,0.775
0,0.08900000000000001,0,10,0.775
1,0.098,0,10,0.775
0,0.076,0,10,0.775
0,0.223,0,10,0.775
1,0.104,0,10,0.775
1,1.27,0,10,0.775
1,1.311,0,10,1.0
1,1.52,0,10,1.0
1,0.08199999999999999,0,10,1.0
0,0.042,0,10,1.0
1,0.184,0,10,1.0
1,0.091,0,10,1.0
1,1.626,0,10,1.0
1,0.079,0,10,1.0
1,0.085,0,10,1.0
1,1.2009999999999998,0,10,1.0
0,1.039,50,10,-2.0
0,1.412,50,10,-2.0
0,0.943,50,10,-2.0
0,1.058,50,10,-2.0
0,2.096,50,10,-2.0
0,0.943,50,10,-2.0
0,1.058,50,10,-2.0
0,2.096,50,10,-2.0
