yes-answer,time,distance,intensity,difference
0,1.22,0,10,-1.0
0,1.607,0,10,-1.0
0,1.405,0,10,-1.0
0,2.094,0,10,-1.0
0,3.017,0,10,-1.0
0,2.3040000000000003,0,10,-1.0
0,2.543,0,10,-1.0
0,2.213,0,10,-1.0
0,1.68,0,10,-1.0
0,1.621,0,10,-1.0
0,1.2,0,10,-0.775
0,0.921,0,10,-0.775
0,0.8540000000000001,0,10,-0.775
0,0.7340000000000001,0,10,-0.775
0,2.246,0,10,-0.775
0,1.642,0,10,-0.775
0,1.411,0,10,-0.775
0,4.44,0,10,-0.775
0,3.277,0,10,-0.775
0,2.094,0,10,-0.775
1,0.802,0,10,-0.55
0,0.867,0,10,-0.55
0,1.561,0,10,-0.55
0,1.5730000000000002,0,10,-0.55
0,4.204,0,10,-0.55
0,3.819,0,10,-0.55
0,2.454,0,10,-0.55
0,3.0610000000000004,0,10,-0.55
0,2.801,0,10,-0.55
0,4.232,0,10,-0.55
1,1.247,0,10,-0.3250000000000001
0,0.81,0,10,-0.3250000000000001
0,1.072,0,10,-0.3250000000000001
0,1.372,0,10,-0.3250000000000001
1,1.116,0,10,-0.3250000000000001
1,1.135,0,10,-0.3250000000000001
0,1.114,0,10,-0.3250000000000001
0,6.314,0,10,-0.3250000000000001
1,3.06,0,10,-0.3250000000000001
0,1.768,0,10,-0.3250000000000001
0,1.063,0,10,-0.10000000000000007
0,0.971,0,10,-0.10000000000000007
1,6.69,0,10,-0.10000000000000007
1,2.833,0,10,-0.10000000000000007
1,3.857,0,10,-0.10000000000000007
1,11.663,0,10,-0.10000000000000007
1,3.64,0,10,-0.10000000000000007
1,3.053,0,10,-0.10000000000000007
0,1.368,0,10,-0.10000000000000007
0,6.882999999999999,0,10,-0.10000000000000007
0,4.296,0,10,0.1
1,1.277,0,10,0.1
0,1.266,0,10,0.1
0,1.084,0,10,0.1
0,1.0659999999999998,0,10,0.1
1,1.463,0,10,0.1
0,0.992,0,10,0.1
1,27.722,0,10,0.1
0,0.7979999999999999,0,10,0.1
0,0.919,0,10,0.1
0,1.317,0,10,0.325
1,1.172,0,10,0.325
0,1.187,0,10,0.325
1,1.475,0,10,0.325
1,1.742,0,10,0.325
1,1.405,0,10,0.325
1,1.002,0,10,0.325
0,1.063,0,10,0.325
0,1.5519999999999998,0,10,0.325
1,2.6660000000000004,0,10,0.325
1,2.001,0,10,0.55
1,0.911,0,10,0.55
1,1.489,0,10,0.55
1,1.063,0,10,0.55
1,1.101,0,10,0.55
0,1.954,0,10,0.55
1,1.027,0,10,0.55
0,1.026,0,10,0.55
1,0.943,0,10,0.55
1,1.239,0,10,0.55
1,1.024,0,10,0.775
1,0.747,0,10,0.775
1,1.114,0,10,0.775
1,0.914,0,10,0.775
1,1.23,0,10,0.775
1,1.516,0,10,0.775
1,1.663,0,10,0.775
0,1.242,0,10,0.775
1,1.265,0,10,0.775
1,1.356,0,10,0.775
1,1.124,0,10,1.0
1,10.074,0,10,1.0
1,0.926,0,10,1.0
1,2.265,0,10,1.0
0,1.812,0,10,1.0
1,0.73,0,10,1.0
1,1.22,0,10,1.0
1,1.165,0,10,1.0
1,0.787,0,10,1.0
1,0.782,0,10,1.0
