yes-answer,time,distance,intensity,difference
0,1.558,0,10,-1.0
0,1.106,0,10,-1.0
0,1.47,0,10,-1.0
0,1.31,0,10,-1.0
0,1.598,0,10,-1.0
0,1.5530000000000002,0,10,-1.0
0,1.112,0,10,-1.0
0,1.348,0,10,-1.0
0,1.101,0,10,-1.0
0,1.045,0,10,-1.0
0,1.924,0,10,-0.775
0,1.328,0,10,-0.775
0,1.269,0,10,-0.775
0,1.341,0,10,-0.775
1,1.352,0,10,-0.775
0,1.422,0,10,-0.775
0,1.183,0,10,-0.775
0,2.117,0,10,-0.775
0,1.513,0,10,-0.775
0,1.385,0,10,-0.775
0,1.11,0,10,-0.55
0,1.409,0,10,-0.55
0,2.229,0,10,-0.55
0,1.115,0,10,-0.55
1,0.398,0,10,-0.55
0,1.743,0,10,-0.55
1,1.166,0,10,-0.55
1,1.0490000000000002,0,10,-0.55
0,1.765,0,10,-0.55
1,1.185,0,10,-0.3250000000000001
0,0.04,0,10,-0.3250000000000001
0,1.35,0,10,-0.3250000000000001
1,2.75,0,10,-0.3250000000000001
0,1.196,0,10,-0.3250000000000001
0,1.766,0,10,-0.3250000000000001
0,1.295,0,10,-0.3250000000000001
1,1.211,0,10,-0.3250000000000001
1,7.404,0,10,-0.3250000000000001
0,1.746,0,10,-0.3250000000000001
1,1.903,0,10,-0.10000000000000007
0,1.331,0,10,-0.10000000000000007
0,1.2990000000000002,0,10,-0.10000000000000007
1,1.375,0,10,-0.10000000000000007
1,2.014,0,10,-0.10000000000000007
1,1.356,0,10,-0.10000000000000007
1,1.269,0,10,-0.10000000000000007
1,1.22,0,10,-0.10000000000000007
0,1.6969999999999998,0,10,-0.10000000000000007
0,1.167,0,10,-0.10000000000000007
0,1.405,0,10,0.1
0,1.4069999999999998,0,10,0.1
1,8.216000000000001,0,10,0.1
0,1.864,0,10,0.1
1,1.71,0,10,0.1
1,1.389,0,10,0.1
0,3.357,0,10,0.1
1,1.422,0,10,0.1
1,1.372,0,10,0.1
1,9.35,0,10,0.325
0,9.833,0,10,0.325
1,1.5490000000000002,0,10,0.325
0,5.1789999999999985,0,10,0.325
0,1.913,0,10,0.325
1,2.063,0,10,0.325
1,1.963,0,10,0.325
1,2.269,0,10,0.325
0,1.839,0,10,0.325
1,2.604,0,10,0.325
1,1.3259999999999998,0,10,0.55
1,1.568,0,10,0.55
1,1.773,0,10,0.55
1,3.64,0,10,0.55
1,2.028,0,10,0.55
0,2.511,0,10,0.55
1,2.1790000000000003,0,10,0.55
1,1.3969999999999998,0,10,0.55
0,1.901,0,10,0.55
1,2.656,0,10,0.775
1,1.3730000000000002,0,10,0.775
1,4.74,0,10,0.775
1,1.64,0,10,0.775
1,3.956,0,10,0.775
1,1.631,0,10,0.775
0,2.584,0,10,0.775
0,2.176,0,10,0.775
0,1.6469999999999998,0,10,0.775
1,1.883,0,10,0.775
1,2.2430000000000003,0,10,1.0
1,1.969,0,10,1.0
1,1.727,0,10,1.0
1,2.689,0,10,1.0
1,1.548,0,10,1.0
1,4.353,0,10,1.0
1,1.664,0,10,1.0
1,14.406,0,10,1.0
1,1.055,0,10,1.0
1,1.12,0,10,1.0
0,1.41,50,10,-2.0
0,1.732,50,10,-2.0
0,0.967,50,10,-2.0
0,1.371,50,10,-2.0
0,1.518,50,10,-2.0
