distance,intensity,jnd,userid
0,10,0.173160361,47_33
0,10,0.176152093,77_104
0,10,0.188196788,101_49
0,10,0.20487017100000002,104_62
0,10,0.213347853,144_180
0,10,0.23432631199999998,13_93
0,10,0.243346669,137_85
0,10,0.248094462,98_96
0,10,0.310784771,75_65
0,10,0.31511506699999997,88_127
0,10,0.316484695,21_44
0,20,0.320732344,75_65
0,10,0.32691565100000003,71_124
0,10,0.334527411,183_31
0,20,0.337682097,88_127
0,10,0.340781834,68_72
0,10,0.34216147399999997,110_54
0,10,0.359248754,91_78
0,20,0.360048214,104_62
0,20,0.360048214,13_93
0,10,0.36171383,123_80
0,10,0.383842694,27_178
0,10,0.392422176,178_29
0,10,0.40918361299999995,36_41
0,10,0.423186186,82_51
0,10,0.43151896100000003,126_82
0,10,0.438730619,141_150
0,20,0.47391332700000005,178_29
0,10,0.490627835,31_105
0,10,0.506812452,125_121
0,10,0.508661479,105_135
0,20,0.515444467,47_33
0,20,0.52089801,101_49
0,20,0.52623609,98_96
0,20,0.52623609,91_78
0,20,0.5353139610000001,137_85
0,20,0.538966714,183_31
0,20,0.542539615,144_180
0,30,0.55747092,178_29
0,20,0.594968332,68_72
0,30,0.5951924470000001,101_49
0,20,0.600094796,71_124
0,20,0.605135785,27_178
0,30,0.623791998,77_104
0,30,0.6385745939999999,144_180
0,30,0.643117018,88_127
0,20,0.670556795,110_54
0,20,0.6777301579999999,77_104
0,30,0.6911827779999999,137_85
0,10,0.6986712420000001,150_110
0,20,0.726657643,123_80
0,30,0.769767823,47_33
0,30,0.776062855,13_93
0,50,0.8222463,178_29
0,50,0.82790356,77_104
0,40,0.858050413,101_49
0,20,0.8632939140000001,141_150
0,40,0.874530393,75_65
0,40,0.876147287,178_29
0,20,0.8809014909999999,125_121
0,20,0.888010104,82_51
0,40,0.8977821420000001,98_96
0,50,0.900216027,123_80
0,30,0.9083356490000001,104_62
0,40,0.915924904,144_180
0,50,0.933125043,101_49
0,20,0.941531997,31_105
0,40,0.9529487459999999,77_104
0,30,0.958593667,27_178
0,40,0.963793405,137_85
0,40,0.9663129909999999,104_62
0,20,0.9713765759999999,21_44
0,40,1.019757965,47_33
0,20,1.0216865990000001,126_82
0,40,1.028039793,88_127
0,50,1.03443193,104_62
0,10,1.039343638,6_70
0,50,1.05174288,98_96
0,20,1.0638923,36_41
0,30,1.0757336690000001,75_65
0,50,1.0803949640000001,75_65
0,30,1.0840077590000001,82_51
0,50,1.090767386,13_93
0,50,1.108509406,137_85
0,30,1.10935843,98_96
0,40,1.119167835,13_93
0,50,1.124029872,144_180
0,40,1.1465813470000001,91_78
0,30,1.1625996509999998,141_150
0,30,1.172434483,110_54
0,30,1.1920124509999999,125_121
0,50,1.2091603770000001,91_78
0,30,1.214236468,91_78
0,30,1.220823045,68_72
0,20,1.252034841,105_135
0,40,1.255333655,68_72
0,40,1.257384533,141_150
0,40,1.278543415,183_31
0,50,1.2941504640000001,88_127
0,50,1.29714372,141_150
0,40,1.3250215140000001,27_178
0,30,1.351777424,123_80
0,30,1.355371722,71_124
0,30,1.366083599,126_82
0,30,1.368480453,36_41
0,50,1.449604769,110_54
0,40,1.4592305769999998,125_121
0,30,1.471689759,183_31
0,40,1.473770855,110_54
0,50,1.48060372,27_178
0,50,1.550054633,68_72
0,30,1.604605188,21_44
0,50,1.646838645,126_82
0,40,1.648496208,123_80
0,50,1.659060028,125_121
0,50,1.6599535769999998,47_33
0,20,1.709137052,150_110
0,30,1.7258852009999999,150_110
0,50,1.7573677419999998,21_44
0,50,1.841721079,71_124
0,40,1.843922166,31_105
0,40,1.8553756019999998,71_124
0,50,1.86102647,183_31
0,30,2.0584440859999997,105_135
0,40,2.116357238,105_135
0,30,2.17779197,31_105
0,40,2.264752733,126_82
0,30,2.270544895,6_70
0,40,2.289485144,150_110
0,50,2.396401539,36_41
0,50,2.401111261,105_135
0,50,2.4036896530000003,82_51
0,40,2.458894671,21_44
0,50,2.48660346,150_110
0,40,2.6183034419999998,36_41
50,10,0.246577378,71_124
50,10,0.254043485,75_65
50,10,0.27426059399999997,47_33
50,10,0.284761104,137_85
50,10,0.306633535,88_127
50,10,0.30708744,13_93
50,10,0.319642011,101_49
50,10,0.33656518700000004,183_31
50,10,0.34829616,104_62
50,10,0.368648608,123_80
50,10,0.37960205,110_54
50,10,0.392659099,77_104
50,20,0.42274014,75_65
50,10,0.44699112,27_178
50,10,0.44896753799999994,91_78
50,10,0.48271423399999996,98_96
50,10,0.507693108,144_180
50,20,0.509323723,47_33
50,10,0.510482305,178_29
50,10,0.544031638,141_150
50,10,0.5594628460000001,36_41
50,10,0.568173805,82_51
50,20,0.611306097,101_49
50,20,0.617267503,137_85
50,10,0.619190966,68_72
50,20,0.6305613170000001,178_29
50,20,0.6415173439999999,98_96
50,10,0.657058355,126_82
50,30,0.719739648,77_104
50,10,0.7205081879999999,21_44
50,10,0.72118777,31_105
50,20,0.7214598409999999,144_180
50,20,0.730352627,13_93
50,30,0.73322922,137_85
50,20,0.737447878,88_127
50,20,0.75667836,77_104
50,40,0.783013188,137_85
50,20,0.8267136140000001,27_178
50,30,0.833383907,178_29
