yes-answer,time,intensity,distance,Difference
0,0.985,50,9,-2.0
0,0.852,50,9,-2.0
0,1.113,50,9,-2.0
0,0.9670000000000001,50,9,-2.0
0,0.972,50,9,-2.0
0,0.9890000000000001,50,9,-2.0
0,1.1420000000000001,50,9,-2.0
0,1.402,50,9,-2.0
0,1.079,50,9,-2.0
0,1.41,50,9,-2.0
0,0.857,50,9,-1.525
0,1.08,50,9,-1.525
0,1.5930000000000002,50,9,-1.525
0,1.228,50,9,-1.525
0,1.246,50,9,-1.525
0,1.047,50,9,-1.525
0,1.361,50,9,-1.525
0,1.0390000000000001,50,9,-1.525
0,1.084,50,9,-1.525
0,0.684,50,9,-1.525
0,1.062,50,9,-1.05
0,1.25,50,9,-1.05
0,0.9540000000000001,50,9,-1.05
0,1.085,50,9,-1.05
0,0.826,50,9,-1.05
0,1.043,50,9,-1.05
0,1.386,50,9,-1.05
0,2.048,50,9,-1.05
0,0.8420000000000001,50,9,-1.05
0,0.95,50,9,-1.05
1,1.078,50,9,-0.5750000000000002
0,0.8270000000000001,50,9,-0.5750000000000002
0,0.925,50,9,-0.5750000000000002
0,0.8320000000000001,50,9,-0.5750000000000002
0,1.073,50,9,-0.5750000000000002
0,0.8370000000000001,50,9,-0.5750000000000002
1,1.4569999999999999,50,9,-0.5750000000000002
0,1.32,50,9,-0.5750000000000002
0,1.021,50,9,-0.5750000000000002
0,0.861,50,9,-0.5750000000000002
0,0.8109999999999999,50,9,-0.10000000000000007
1,1.359,50,9,-0.10000000000000007
0,1.166,50,9,-0.10000000000000007
0,5.388,50,9,-0.10000000000000007
1,1.274,50,9,-0.10000000000000007
1,1.298,50,9,-0.10000000000000007
1,1.1520000000000001,50,9,-0.10000000000000007
1,0.8220000000000001,50,9,-0.10000000000000007
0,1.203,50,9,-0.10000000000000007
1,1.79,50,9,-0.10000000000000007
1,1.4069999999999998,50,9,0.1
0,1.3719999999999999,50,9,0.1
1,0.9840000000000001,50,9,0.1
0,1.127,50,9,0.1
1,1.138,50,9,0.1
1,1.307,50,9,0.1
0,1.145,50,9,0.1
0,0.841,50,9,0.1
1,1.237,50,9,0.1
0,1.224,50,9,0.1
1,1.3019999999999998,50,9,0.575
0,0.855,50,9,0.575
1,1.632,50,9,0.575
0,1.4669999999999999,50,9,0.575
1,1.298,50,9,0.575
1,1.158,50,9,0.575
0,1.598,50,9,0.575
0,1.386,50,9,0.575
1,1.2990000000000002,50,9,0.575
1,1.473,50,9,0.575
1,1.568,50,9,1.05
1,1.307,50,9,1.05
1,1.159,50,9,1.05
1,0.9540000000000001,50,9,1.05
1,1.073,50,9,1.05
1,0.9159999999999999,50,9,1.05
1,1.8880000000000001,50,9,1.05
1,1.001,50,9,1.05
1,1.085,50,9,1.05
1,1.1,50,9,1.05
1,1.087,50,9,1.525
1,1.276,50,9,1.525
1,1.074,50,9,1.525
1,0.893,50,9,1.525
1,1.1159999999999999,50,9,1.525
1,1.045,50,9,1.525
1,0.9440000000000001,50,9,1.525
1,1.093,50,9,1.525
1,1.4669999999999999,50,9,1.525
1,0.7190000000000001,50,9,1.525
1,1.147,50,9,2.0
1,1.4080000000000001,50,9,2.0
1,0.9590000000000001,50,9,2.0
1,1.1159999999999999,50,9,2.0
1,1.1520000000000001,50,9,2.0
1,0.987,50,9,2.0
1,1.16,50,9,2.0
1,1.143,50,9,2.0
1,0.894,50,9,2.0
1,0.805,50,9,2.0
0,1.4809999999999999,50,93,-5.0
0,1.1520000000000001,50,93,-5.0
0,1.075,50,93,-5.0
0,1.206,50,93,-5.0
1,1.278,50,93,-5.0
0,0.955,50,93,-5.0
0,1.51,50,93,-5.0
0,1.1540000000000001,50,93,-5.0
0,1.2690000000000001,50,93,-5.0
0,1.033,50,93,-5.0
0,0.927,50,93,-3.875
0,0.833,50,93,-3.875
0,1.161,50,93,-3.875
0,1.344,50,93,-3.875
0,1.147,50,93,-3.875
0,1.187,50,93,-3.875
0,0.88,50,93,-3.875
0,1.1540000000000001,50,93,-3.875
0,1.791,50,93,-3.875
1,1.125,50,93,-3.875
1,1.4969999999999999,50,93,-2.75
0,1.321,50,93,-2.75
0,1.157,50,93,-2.75
0,1.052,50,93,-2.75
0,0.9990000000000001,50,93,-2.75
0,1.5219999999999998,50,93,-2.75
0,1.6980000000000002,50,93,-2.75
0,0.8079999999999999,50,93,-2.75
