yes-answer,time,intensity,distance,Difference
0,1.1340000000000001,50,9,-2.0
0,0.76,50,9,-2.0
0,1.0270000000000001,50,9,-2.0
0,948.2869999999999,50,9,-2.0
0,0.8490000000000001,50,9,-2.0
0,1.171,50,9,-2.0
0,0.812,50,9,-2.0
0,3.93,50,9,-2.0
0,1.087,50,9,-2.0
0,0.899,50,9,-2.0
0,1.23,50,9,-1.525
1,0.828,50,9,-1.525
0,1.655,50,9,-1.525
0,1.12,50,9,-1.525
0,1.208,50,9,-1.525
0,0.8490000000000001,50,9,-1.525
0,0.9940000000000001,50,9,-1.525
0,0.9009999999999999,50,9,-1.525
0,2.336,50,9,-1.525
0,0.934,50,9,-1.525
0,1.145,50,9,-1.05
0,1.094,50,9,-1.05
0,0.825,50,9,-1.05
0,1.018,50,9,-1.05
0,0.943,50,9,-1.05
0,0.9840000000000001,50,9,-1.05
0,0.9229999999999999,50,9,-1.05
0,1.632,50,9,-1.05
0,0.888,50,9,-1.05
0,1.0759999999999998,50,9,-1.05
0,1.666,50,9,-0.5750000000000002
0,1.5630000000000002,50,9,-0.5750000000000002
1,1.3659999999999999,50,9,-0.5750000000000002
0,1.5659999999999998,50,9,-0.5750000000000002
0,1.317,50,9,-0.5750000000000002
0,1.335,50,9,-0.5750000000000002
0,1.092,50,9,-0.5750000000000002
0,0.858,50,9,-0.5750000000000002
0,1.0270000000000001,50,9,-0.5750000000000002
0,1.3969999999999998,50,9,-0.5750000000000002
0,1.828,50,9,-0.10000000000000007
0,0.769,50,9,-0.10000000000000007
1,0.961,50,9,-0.10000000000000007
1,1.0290000000000001,50,9,-0.10000000000000007
0,1.5319999999999998,50,9,-0.10000000000000007
0,1.7309999999999999,50,9,-0.10000000000000007
1,1.115,50,9,-0.10000000000000007
1,1.597,50,9,-0.10000000000000007
0,1.71,50,9,-0.10000000000000007
1,1.12,50,9,-0.10000000000000007
1,1.4080000000000001,50,9,0.1
0,1.5090000000000001,50,9,0.1
1,1.089,50,9,0.1
1,1.696,50,9,0.1
1,2.458,50,9,0.1
1,1.169,50,9,0.1
1,1.0959999999999999,50,9,0.1
0,1.0090000000000001,50,9,0.1
1,0.987,50,9,0.1
0,0.988,50,9,0.1
1,2.088,50,9,0.575
1,3.233,50,9,0.575
1,2.324,50,9,0.575
1,5.952000000000001,50,9,0.575
0,0.937,50,9,0.575
1,1.306,50,9,0.575
1,1.608,50,9,0.575
1,1.0959999999999999,50,9,0.575
0,1.393,50,9,0.575
1,1.084,50,9,0.575
1,1.768,50,9,1.05
1,1.297,50,9,1.05
1,0.8809999999999999,50,9,1.05
1,1.5730000000000002,50,9,1.05
1,1.169,50,9,1.05
1,1.097,50,9,1.05
1,0.953,50,9,1.05
1,0.945,50,9,1.05
1,0.9079999999999999,50,9,1.05
1,1.042,50,9,1.05
1,1.038,50,9,1.525
1,1.703,50,9,1.525
1,0.8240000000000001,50,9,1.525
1,1.193,50,9,1.525
1,0.935,50,9,1.525
1,0.91,50,9,1.525
1,0.841,50,9,1.525
1,1.432,50,9,1.525
1,1.014,50,9,1.525
1,0.875,50,9,1.525
1,1.321,50,9,2.0
1,1.226,50,9,2.0
1,1.297,50,9,2.0
