yes-answer,time,intensity,distance,Difference
0,1.4269999999999998,50,9,-2.0
0,2.84,50,9,-2.0
0,1.77,50,9,-2.0
0,1.5730000000000002,50,9,-2.0
0,1.575,50,9,-2.0
0,1.8030000000000002,50,9,-2.0
0,0.904,50,9,-2.0
0,0.993,50,9,-2.0
0,1.6669999999999998,50,9,-2.0
0,1.426,50,9,-2.0
0,1.6269999999999998,50,9,-1.525
0,1.5619999999999998,50,9,-1.525
0,1.364,50,9,-1.525
0,1.6369999999999998,50,9,-1.525
0,1.216,50,9,-1.525
0,1.319,50,9,-1.525
0,2.4459999999999997,50,9,-1.525
0,2.0,50,9,-1.525
0,1.4980000000000002,50,9,-1.525
0,1.7480000000000002,50,9,-1.525
0,2.191,50,9,-1.05
0,1.5430000000000001,50,9,-1.05
0,2.6439999999999997,50,9,-1.05
0,1.8,50,9,-1.05
0,1.804,50,9,-1.05
0,2.4459999999999997,50,9,-1.05
0,1.246,50,9,-1.05
0,1.325,50,9,-1.05
0,1.534,50,9,-1.05
0,1.568,50,9,-1.05
0,1.15,50,9,-0.5750000000000002
0,1.324,50,9,-0.5750000000000002
0,2.174,50,9,-0.5750000000000002
0,2.682,50,9,-0.5750000000000002
0,4.305,50,9,-0.5750000000000002
0,3.55,50,9,-0.5750000000000002
0,2.873,50,9,-0.5750000000000002
0,1.905,50,9,-0.5750000000000002
0,1.265,50,9,-0.5750000000000002
0,1.956,50,9,-0.5750000000000002
1,1.4,50,9,-0.10000000000000007
0,1.77,50,9,-0.10000000000000007
1,3.1239999999999997,50,9,-0.10000000000000007
1,1.1420000000000001,50,9,-0.10000000000000007
0,1.456,50,9,-0.10000000000000007
1,2.609,50,9,-0.10000000000000007
1,1.33,50,9,-0.10000000000000007
0,2.0580000000000003,50,9,-0.10000000000000007
0,1.6030000000000002,50,9,-0.10000000000000007
0,1.7069999999999999,50,9,-0.10000000000000007
0,0.86,50,9,0.1
0,0.929,50,9,0.1
1,0.789,50,9,0.1
1,0.914,50,9,0.1
1,0.746,50,9,0.1
1,0.945,50,9,0.1
0,0.7909999999999999,50,9,0.1
0,0.833,50,9,0.1
1,0.687,50,9,0.1
0,0.748,50,9,0.1
1,0.8370000000000001,50,9,0.575
1,0.748,50,9,0.575
0,0.885,50,9,0.575
1,1.561,50,9,0.575
1,1.088,50,9,0.575
0,1.364,50,9,0.575
0,0.659,50,9,0.575
1,1.367,50,9,0.575
0,0.768,50,9,0.575
1,0.9129999999999999,50,9,0.575
1,0.858,50,9,1.05
1,0.953,50,9,1.05
0,0.769,50,9,1.05
0,0.779,50,9,1.05
0,0.6559999999999999,50,9,1.05
0,0.757,50,9,1.05
1,0.91,50,9,1.05
1,0.7929999999999999,50,9,1.05
1,1.087,50,9,1.05
1,0.929,50,9,1.05
0,0.536,50,9,1.525
1,0.615,50,9,1.525
0,0.845,50,9,1.525
1,0.993,50,9,1.525
1,0.987,50,9,1.525
1,0.968,50,9,1.525
1,0.904,50,9,1.525
1,0.8909999999999999,50,9,1.525
1,0.6459999999999999,50,9,1.525
0,0.613,50,9,1.525
1,0.7929999999999999,50,9,2.0
0,0.679,50,9,2.0
1,0.47200000000000003,50,9,2.0
1,0.7509999999999999,50,9,2.0
1,1.026,50,9,2.0
1,1.074,50,9,2.0
1,0.682,50,9,2.0
1,0.738,50,9,2.0
1,0.8440000000000001,50,9,2.0
1,0.7040000000000001,50,9,2.0
0,1.382,50,93,-5.0
0,1.472,50,93,-5.0
0,5.252999999999999,50,93,-5.0
0,2.7030000000000003,50,93,-5.0
0,2.577,50,93,-5.0
0,2.655,50,93,-5.0
0,1.5030000000000001,50,93,-5.0
0,1.368,50,93,-5.0
0,1.693,50,93,-5.0
0,1.805,50,93,-5.0
0,1.234,50,93,-3.875
0,1.7409999999999999,50,93,-3.875
0,4.377,50,93,-3.875
0,1.901,50,93,-3.875
0,1.891,50,93,-3.875
0,1.339,50,93,-3.875
0,1.127,50,93,-3.875
0,1.505,50,93,-3.875
0,1.4280000000000002,50,93,-3.875
0,1.64,50,93,-3.875
0,1.205,50,93,-2.75
0,1.834,50,93,-2.75
0,2.182,50,93,-2.75
0,1.5190000000000001,50,93,-2.75
0,2.763,50,93,-2.75
0,1.594,50,93,-2.75
0,1.4240000000000002,50,93,-2.75
0,1.672,50,93,-2.75
0,1.436,50,93,-2.75
0,2.536,50,93,-2.75
0,5.0310000000000015,50,93,-1.625
0,1.692,50,93,-1.625
