yes-answer,time,intensity,distance,Difference
0,1.495,50,9,-2.0
0,0.9990000000000001,50,9,-2.0
0,1.163,50,9,-2.0
0,0.953,50,9,-2.0
0,1.045,50,9,-2.0
0,0.975,50,9,-2.0
0,3.838,50,9,-2.0
0,1.195,50,9,-2.0
0,1.27,50,9,-2.0
0,4.092,50,9,-2.0
0,0.9079999999999999,50,9,-1.525
0,1.565,50,9,-1.525
0,1.128,50,9,-1.525
0,1.021,50,9,-1.525
0,0.9740000000000001,50,9,-1.525
0,1.06,50,9,-1.525
0,1.463,50,9,-1.525
0,0.96,50,9,-1.525
0,1.315,50,9,-1.525
0,2.0380000000000003,50,9,-1.525
0,1.9869999999999999,50,9,-1.05
0,1.182,50,9,-1.05
0,1.4769999999999999,50,9,-1.05
0,1.207,50,9,-1.05
0,2.3609999999999998,50,9,-1.05
0,1.087,50,9,-1.05
1,1.193,50,9,-1.05
0,0.943,50,9,-1.05
0,0.96,50,9,-1.05
0,1.335,50,9,-1.05
0,2.2840000000000003,50,9,-0.5750000000000002
0,1.3030000000000002,50,9,-0.5750000000000002
0,1.347,50,9,-0.5750000000000002
0,1.416,50,9,-0.5750000000000002
0,1.4269999999999998,50,9,-0.5750000000000002
0,1.141,50,9,-0.5750000000000002
0,1.157,50,9,-0.5750000000000002
0,1.06,50,9,-0.5750000000000002
0,1.013,50,9,-0.5750000000000002
0,0.953,50,9,-0.5750000000000002
0,1.25,50,9,-0.10000000000000007
0,1.128,50,9,-0.10000000000000007
1,1.203,50,9,-0.10000000000000007
0,0.899,50,9,-0.10000000000000007
1,1.01,50,9,-0.10000000000000007
0,1.068,50,9,-0.10000000000000007
0,1.032,50,9,-0.10000000000000007
0,1.028,50,9,-0.10000000000000007
0,1.2229999999999999,50,9,-0.10000000000000007
0,2.734,50,9,-0.10000000000000007
1,1.839,50,9,0.1
0,2.9989999999999997,50,9,0.1
1,1.5530000000000002,50,9,0.1
1,2.8939999999999997,50,9,0.1
1,2.755,50,9,0.1
0,1.355,50,9,0.1
1,1.258,50,9,0.1
0,1.151,50,9,0.1
0,0.8809999999999999,50,9,0.1
0,1.5019999999999998,50,9,0.1
1,1.9569999999999999,50,9,0.1
1,1.669,50,9,0.575
0,1.284,50,9,0.575
1,1.704,50,9,0.575
1,1.525,50,9,0.575
1,1.9,50,9,0.575
1,1.128,50,9,0.575
1,2.427,50,9,0.575
1,1.197,50,9,0.575
1,1.069,50,9,0.575
0,1.685,50,9,0.575
1,1.013,50,9,1.05
1,1.354,50,9,1.05
1,1.5530000000000002,50,9,1.05
1,1.5759999999999998,50,9,1.05
1,2.43,50,9,1.05
1,1.162,50,9,1.05
1,0.85,50,9,1.05
1,1.204,50,9,1.05
1,2.094,50,9,1.05
1,1.0170000000000001,50,9,1.05
1,1.119,50,9,1.525
1,2.171,50,9,1.525
1,1.126,50,9,1.525
1,2.549,50,9,1.525
1,1.05,50,9,1.525
1,1.885,50,9,1.525
1,0.89,50,9,1.525
1,1.296,50,9,1.525
1,0.884,50,9,1.525
1,0.7509999999999999,50,9,1.525
1,2.1430000000000002,50,9,2.0
1,2.0540000000000003,50,9,2.0
1,1.867,50,9,2.0
1,1.456,50,9,2.0
1,1.4380000000000002,50,9,2.0
1,1.3,50,9,2.0
1,1.02,50,9,2.0
1,1.381,50,9,2.0
1,0.835,50,9,2.0
1,1.0170000000000001,50,9,2.0
0,1.325,50,93,-5.0
0,1.226,50,93,-5.0
0,1.214,50,93,-5.0
0,1.7619999999999998,50,93,-5.0
0,1.197,50,93,-5.0
0,1.2690000000000001,50,93,-5.0
0,1.234,50,93,-5.0
0,1.4,50,93,-5.0
1,1.187,50,93,-5.0
0,0.9440000000000001,50,93,-5.0
0,1.771,50,93,-3.875
0,1.2,50,93,-3.875
0,1.703,50,93,-3.875
0,1.069,50,93,-3.875
0,1.185,50,93,-3.875
0,1.73,50,93,-3.875
1,1.0490000000000002,50,93,-3.875
0,1.153,50,93,-3.875
0,1.633,50,93,-3.875
0,1.381,50,93,-3.875
0,1.867,50,93,-2.75
1,1.2329999999999999,50,93,-2.75
0,1.36,50,93,-2.75
0,1.252,50,93,-2.75
0,1.9809999999999999,50,93,-2.75
0,1.052,50,93,-2.75
0,1.18,50,93,-2.75
0,1.185,50,93,-2.75
0,1.238,50,93,-2.75
0,1.083,50,93,-2.75
0,1.51,50,93,-1.625
0,1.516,50,93,-1.625
1,2.153,50,93,-1.625
1,1.111,50,93,-1.625
0,2.101,50,93,-1.625
