yes-answer,time,intensity,distance,Difference
0,0.971,50,9,-2.0
0,1.506,50,9,-2.0
0,1.05,50,9,-2.0
0,1.683,50,9,-2.0
0,1.817,50,9,-2.0
0,1.1059999999999999,50,9,-2.0
0,1.119,50,9,-2.0
0,0.9540000000000001,50,9,-2.0
0,1.026,50,9,-2.0
0,2.8510000000000004,50,9,-2.0
0,0.972,50,9,-1.525
0,1.473,50,9,-1.525
0,1.095,50,9,-1.525
0,1.1440000000000001,50,9,-1.525
0,1.075,50,9,-1.525
0,0.9740000000000001,50,9,-1.525
0,1.189,50,9,-1.525
0,0.9490000000000001,50,9,-1.525
0,1.035,50,9,-1.525
0,1.0759999999999998,50,9,-1.525
0,1.4669999999999999,50,9,-1.05
0,1.048,50,9,-1.05
0,1.111,50,9,-1.05
0,1.0170000000000001,50,9,-1.05
0,1.092,50,9,-1.05
0,1.892,50,9,-1.05
0,1.173,50,9,-1.05
0,1.137,50,9,-1.05
0,1.046,50,9,-1.05
0,4.66,50,9,-1.05
0,1.093,50,9,-0.5750000000000002
0,1.0759999999999998,50,9,-0.5750000000000002
0,1.341,50,9,-0.5750000000000002
0,1.535,50,9,-0.5750000000000002
0,1.983,50,9,-0.5750000000000002
0,3.407,50,9,-0.5750000000000002
0,1.4580000000000002,50,9,-0.5750000000000002
1,0.977,50,9,-0.5750000000000002
0,1.3719999999999999,50,9,-0.5750000000000002
0,0.965,50,9,-0.5750000000000002
1,1.135,50,9,-0.10000000000000007
0,12.045,50,9,-0.10000000000000007
1,2.181,50,9,-0.10000000000000007
0,1.9480000000000002,50,9,-0.10000000000000007
1,1.876,50,9,-0.10000000000000007
0,1.354,50,9,-0.10000000000000007
0,1.286,50,9,-0.10000000000000007
1,1.147,50,9,-0.10000000000000007
1,1.851,50,9,-0.10000000000000007
1,1.141,50,9,-0.10000000000000007
1,7.3770000000000024,50,9,0.1
1,6.1739999999999995,50,9,0.1
1,1.459,50,9,0.1
1,3.793,50,9,0.1
1,1.821,50,9,0.1
1,1.1740000000000002,50,9,0.1
1,1.4240000000000002,50,9,0.1
0,1.1520000000000001,50,9,0.1
1,0.843,50,9,0.1
0,0.9690000000000001,50,9,0.1
1,1.9140000000000001,50,9,0.575
1,2.998,50,9,0.575
1,1.755,50,9,0.575
1,1.402,50,9,0.575
0,1.29,50,9,0.575
1,2.861,50,9,0.575
1,1.0290000000000001,50,9,0.575
1,2.585,50,9,0.575
0,1.6769999999999998,50,9,0.575
0,1.315,50,9,0.575
1,1.052,50,9,1.05
1,1.288,50,9,1.05
1,1.5119999999999998,50,9,1.05
1,1.265,50,9,1.05
1,1.369,50,9,1.05
1,1.111,50,9,1.05
1,1.5630000000000002,50,9,1.05
1,0.998,50,9,1.05
1,1.176,50,9,1.05
1,1.127,50,9,1.05
1,1.136,50,9,1.525
1,1.2009999999999998,50,9,1.525
1,0.953,50,9,1.525
1,1.156,50,9,1.525
1,0.9159999999999999,50,9,1.525
1,1.229,50,9,1.525
1,7.393,50,9,1.525
1,1.058,50,9,1.525
1,0.965,50,9,1.525
1,1.0,50,9,1.525
1,1.005,50,9,2.0
1,1.854,50,9,2.0
1,1.239,50,9,2.0
1,1.32,50,9,2.0
1,1.147,50,9,2.0
1,1.213,50,9,2.0
1,1.224,50,9,2.0
1,1.008,50,9,2.0
1,1.078,50,9,2.0
1,1.209,50,9,2.0
0,1.115,50,93,-5.0
0,1.3130000000000002,50,93,-5.0
0,1.911,50,93,-5.0
0,1.151,50,93,-5.0
0,1.227,50,93,-5.0
0,1.301,50,93,-5.0
0,1.48,50,93,-5.0
0,1.335,50,93,-5.0
0,1.864,50,93,-5.0
0,1.365,50,93,-5.0
0,1.3,50,93,-3.875
0,1.249,50,93,-3.875
0,1.238,50,93,-3.875
0,1.148,50,93,-3.875
0,1.868,50,93,-3.875
0,1.3869999999999998,50,93,-3.875
0,1.7409999999999999,50,93,-3.875
0,1.949,50,93,-3.875
0,2.17,50,93,-3.875
0,1.5490000000000002,50,93,-3.875
0,1.771,50,93,-2.75
0,1.281,50,93,-2.75
0,1.07,50,93,-2.75
0,1.3559999999999999,50,93,-2.75
0,3.125,50,93,-2.75
0,3.528,50,93,-2.75
0,1.771,50,93,-2.75
0,1.117,50,93,-2.75
0,1.5330000000000001,50,93,-2.75
0,1.2309999999999999,50,93,-2.75
0,1.453,50,93,-1.625
0,2.6919999999999997,50,93,-1.625
0,1.8780000000000001,50,93,-1.625
0,1.8630000000000002,50,93,-1.625
0,2.161,50,93,-1.625
0,1.869,50,93,-1.625
0,1.236,50,93,-1.625
0,2.86,50,93,-1.625
0,2.177,50,93,-1.625
0,1.045,50,93,-1.625
1,1.226,50,93,-0.5
0,1.359,50,93,-0.5
0,1.193,50,93,-0.5
0,2.5869999999999997,50,93,-0.5
0,1.579,50,93,-0.5
1,2.496,50,93,-0.5
1,1.9069999999999998,50,93,-0.5
0,4.311,50,93,-0.5
0,2.299,50,93,-0.5
1,1.557,50,93,-0.5
0,2.199,50,93,0.5
1,3.8819999999999997,50,93,0.5
0,2.8480000000000003,50,93,0.5
1,1.432,50,93,0.5
1,2.665,50,93,0.5
0,3.2539999999999996,50,93,0.5
1,1.41,50,93,0.5
0,2.09,50,93,0.5
0,2.885,50,93,0.5
1,1.46,50,93,0.5
1,1.8090000000000002,50,93,1.625
1,1.9340000000000002,50,93,1.625
1,1.79,50,93,1.625
1,1.171,50,93,1.625
1,1.6680000000000001,50,93,1.625
1,1.556,50,93,1.625
1,1.121,50,93,1.625
1,1.591,50,93,1.625
0,2.177,50,93,1.625
1,1.4340000000000002,50,93,1.625
1,3.891,50,93,2.75
1,2.141,50,93,2.75
1,1.817,50,93,2.75
1,1.334,50,93,2.75
1,1.137,50,93,2.75
1,1.45,50,93,2.75
1,3.8789999999999996,50,93,2.75
1,1.505,50,93,2.75
1,1.649,50,93,2.75
0,1.65,50,93,2.75
1,3.8989999999999996,50,93,3.875
1,1.443,50,93,3.875
1,1.3090000000000002,50,93,3.875
1,2.145,50,93,3.875
1,1.9569999999999999,50,93,3.875
1,1.912,50,93,3.875
1,1.672,50,93,3.875
1,2.699,50,93,3.875
1,1.9,50,93,3.875
1,1.206,50,93,3.875
1,1.597,50,93,5.0
1,2.1319999999999997,50,93,5.0
1,1.247,50,93,5.0
1,1.033,50,93,5.0
1,1.58,50,93,5.0
1,1.215,50,93,5.0
1,1.831,50,93,5.0
1,2.035,50,93,5.0
1,1.425,50,93,5.0
1,1.5930000000000002,50,93,5.0
0,1.406,50,177,-7.0
0,1.026,50,177,-7.0
0,1.6159999999999999,50,177,-7.0
0,1.357,50,177,-7.0
0,1.6280000000000001,50,177,-7.0
0,1.0290000000000001,50,177,-7.0
0,1.276,50,177,-7.0
0,1.197,50,177,-7.0
0,1.454,50,177,-7.0
0,1.439,50,177,-7.0
0,1.335,50,177,-5.375
0,1.4380000000000002,50,177,-5.375
0,1.314,50,177,-5.375
0,1.175,50,177,-5.375
0,8.252,50,177,-5.375
0,1.871,50,177,-5.375
0,1.339,50,177,-5.375
0,161.279,50,177,-5.375
0,2.153,50,177,-5.375
0,1.177,50,177,-5.375
0,3.9530000000000003,50,177,-3.75
0,2.3680000000000003,50,177,-3.75
0,1.341,50,177,-3.75
0,1.207,50,177,-3.75
0,1.505,50,177,-3.75
0,1.472,50,177,-3.75
0,1.714,50,177,-3.75
0,1.525,50,177,-3.75
0,1.317,50,177,-3.75
0,1.9040000000000001,50,177,-3.75
0,1.649,50,177,-2.125
0,1.85,50,177,-2.125
0,4.832,50,177,-2.125
0,2.1719999999999997,50,177,-2.125
0,1.7530000000000001,50,177,-2.125
0,2.531,50,177,-2.125
0,1.104,50,177,-2.125
0,1.995,50,177,-2.125
0,1.659,50,177,-2.125
0,1.903,50,177,-2.125
1,1.7519999999999998,50,177,-0.5
0,1.15,50,177,-0.5
1,1.817,50,177,-0.5
0,2.313,50,177,-0.5
0,1.518,50,177,-0.5
0,1.189,50,177,-0.5
0,2.1180000000000003,50,177,-0.5
1,1.1,50,177,-0.5
0,1.99,50,177,-0.5
1,1.7690000000000001,50,177,-0.5
0,3.467,50,177,0.5
0,1.8230000000000002,50,177,0.5
0,12.889000000000001,50,177,0.5
0,2.032,50,177,0.5
1,2.537,50,177,0.5
0,1.724,50,177,0.5
1,7.184,50,177,0.5
1,2.266,50,177,0.5
0,1.569,50,177,0.5
1,2.092,50,177,0.5
1,2.589,50,177,2.125
1,2.659,50,177,2.125
1,1.6280000000000001,50,177,2.125
1,2.374,50,177,2.125
1,1.295,50,177,2.125
1,1.2890000000000001,50,177,2.125
1,1.494,50,177,2.125
1,2.085,50,177,2.125
1,1.156,50,177,2.125
1,1.115,50,177,2.125
1,1.6769999999999998,50,177,3.75
1,1.767,50,177,3.75
1,1.817,50,177,3.75
1,1.5490000000000002,50,177,3.75
1,2.2569999999999997,50,177,3.75
1,1.1179999999999999,50,177,3.75
1,1.735,50,177,3.75
1,2.311,50,177,3.75
1,1.435,50,177,3.75
1,2.124,50,177,3.75
1,3.7310000000000003,50,177,5.375
1,1.359,50,177,5.375
1,1.53,50,177,5.375
1,1.8090000000000002,50,177,5.375
1,1.8230000000000002,50,177,5.375
1,2.535,50,177,5.375
1,1.55,50,177,5.375
1,1.514,50,177,5.375
1,1.9280000000000002,50,177,5.375
1,1.931,50,177,5.375
1,2.349,50,177,7.0
1,2.838,50,177,7.0
1,2.0069999999999997,50,177,7.0
1,1.516,50,177,7.0
1,1.5619999999999998,50,177,7.0
1,1.265,50,177,7.0
1,0.9329999999999999,50,177,7.0
1,1.536,50,177,7.0
1,1.455,50,177,7.0
1,1.431,50,177,7.0
0,1.815,50,261,-8.0
0,1.171,50,261,-8.0
0,1.162,50,261,-8.0
0,1.12,50,261,-8.0
0,1.29,50,261,-8.0
0,1.026,50,261,-8.0
0,1.47,50,261,-8.0
0,1.281,50,261,-8.0
0,1.033,50,261,-8.0
0,0.985,50,261,-8.0
0,1.3119999999999998,50,261,-6.125
0,1.65,50,261,-6.125
0,2.4290000000000003,50,261,-6.125
0,1.696,50,261,-6.125
0,1.304,50,261,-6.125
0,1.633,50,261,-6.125
0,1.5019999999999998,50,261,-6.125
0,1.14,50,261,-6.125
0,1.247,50,261,-6.125
0,2.119,50,261,-6.125
1,1.328,50,261,-4.25
0,1.204,50,261,-4.25
0,2.275,50,261,-4.25
0,11.763,50,261,-4.25
0,3.866,50,261,-4.25
0,1.148,50,261,-4.25
0,1.367,50,261,-4.25
0,1.2830000000000001,50,261,-4.25
0,1.94,50,261,-4.25
0,4.121,50,261,-4.25
0,1.2570000000000001,50,261,-2.375
0,2.14,50,261,-2.375
1,4.291,50,261,-2.375
0,2.0669999999999997,50,261,-2.375
0,1.401,50,261,-2.375
0,1.6980000000000002,50,261,-2.375
0,1.4669999999999999,50,261,-2.375
0,1.56,50,261,-2.375
0,3.886,50,261,-2.375
0,6.1770000000000005,50,261,-2.375
0,1.601,50,261,-0.5
0,1.945,50,261,-0.5
0,1.246,50,261,-0.5
1,1.419,50,261,-0.5
0,2.068,50,261,-0.5
0,1.195,50,261,-0.5
1,1.609,50,261,-0.5
0,5.301,50,261,-0.5
0,1.375,50,261,-0.5
1,1.386,50,261,-0.5
0,45.699,50,261,0.5
0,3.136,50,261,0.5
1,1.7990000000000002,50,261,0.5
0,1.786,50,261,0.5
1,2.6069999999999998,50,261,0.5
1,2.529,50,261,0.5
0,1.6280000000000001,50,261,0.5
0,1.896,50,261,0.5
1,2.8739999999999997,50,261,0.5
0,2.349,50,261,0.5
0,2.275,50,261,2.375
1,1.476,50,261,2.375
1,1.3430000000000002,50,261,2.375
1,2.7310000000000003,50,261,2.375
1,3.1319999999999997,50,261,2.375
0,1.659,50,261,2.375
1,2.394,50,261,2.375
1,2.298,50,261,2.375
1,2.7239999999999998,50,261,2.375
0,2.2840000000000003,50,261,2.375
0,2.037,50,261,4.25
1,1.4080000000000001,50,261,4.25
1,2.7689999999999997,50,261,4.25
1,1.844,50,261,4.25
1,2.727,50,261,4.25
1,1.5919999999999999,50,261,4.25
1,1.281,50,261,4.25
1,2.128,50,261,4.25
1,2.331,50,261,4.25
1,1.96,50,261,4.25
1,12.100999999999999,50,261,6.125
1,1.85,50,261,6.125
1,1.7519999999999998,50,261,6.125
1,1.359,50,261,6.125
1,1.194,50,261,6.125
1,1.3619999999999999,50,261,6.125
1,2.553,50,261,6.125
1,2.136,50,261,6.125
1,1.781,50,261,6.125
1,1.474,50,261,6.125
1,2.0340000000000003,50,261,8.0
1,1.4240000000000002,50,261,8.0
1,1.3780000000000001,50,261,8.0
1,1.545,50,261,8.0
1,2.498,50,261,8.0
1,3.398,50,261,8.0
1,1.735,50,261,8.0
1,2.18,50,261,8.0
1,2.009,50,261,8.0
1,1.7169999999999999,50,261,8.0
1,1.933,50,345,-9.0
0,4.728,50,345,-9.0
0,1.2009999999999998,50,345,-9.0
0,3.883,50,345,-9.0
0,41.143,50,345,-9.0
0,1.041,50,345,-9.0
0,1.1320000000000001,50,345,-9.0
0,2.117,50,345,-9.0
0,1.564,50,345,-9.0
0,2.052,50,345,-9.0
0,1.98,50,345,-6.875
0,1.055,50,345,-6.875
0,0.956,50,345,-6.875
0,1.2109999999999999,50,345,-6.875
0,2.655,50,345,-6.875
0,1.679,50,345,-6.875
0,1.4669999999999999,50,345,-6.875
0,1.4880000000000002,50,345,-6.875
0,12.357999999999999,50,345,-6.875
0,2.02,50,345,-6.875
0,1.883,50,345,-4.75
0,1.659,50,345,-4.75
0,1.1340000000000001,50,345,-4.75
0,3.332,50,345,-4.75
