yes-answer,time,intensity,distance,Difference
0,0.99,50,9,-2.0
0,1.208,50,9,-2.0
0,4.779,50,9,-2.0
0,2.2030000000000003,50,9,-2.0
0,1.9580000000000002,50,9,-2.0
0,1.83,50,9,-2.0
0,1.5859999999999999,50,9,-2.0
0,1.839,50,9,-2.0
0,1.1,50,9,-2.0
0,0.863,50,9,-2.0
0,1.265,50,9,-1.525
0,2.009,50,9,-1.525
0,1.851,50,9,-1.525
0,1.9609999999999999,50,9,-1.525
0,1.147,50,9,-1.525
0,1.3840000000000001,50,9,-1.525
0,2.727,50,9,-1.525
0,0.907,50,9,-1.525
0,1.4140000000000001,50,9,-1.525
0,1.6230000000000002,50,9,-1.525
0,2.251,50,9,-1.05
0,2.281,50,9,-1.05
0,1.337,50,9,-1.05
0,2.707,50,9,-1.05
0,1.158,50,9,-1.05
0,1.2830000000000001,50,9,-1.05
0,1.625,50,9,-1.05
0,1.29,50,9,-1.05
0,1.229,50,9,-1.05
0,1.672,50,9,-1.05
0,2.648,50,9,-0.5750000000000002
0,2.129,50,9,-0.5750000000000002
0,2.173,50,9,-0.5750000000000002
0,2.569,50,9,-0.5750000000000002
0,2.343,50,9,-0.5750000000000002
0,1.0659999999999998,50,9,-0.5750000000000002
0,1.839,50,9,-0.5750000000000002
1,1.0070000000000001,50,9,-0.5750000000000002
0,1.685,50,9,-0.5750000000000002
0,1.127,50,9,-0.5750000000000002
1,1.885,50,9,-0.10000000000000007
1,1.96,50,9,-0.10000000000000007
0,1.713,50,9,-0.10000000000000007
1,1.1840000000000002,50,9,-0.10000000000000007
0,1.6440000000000001,50,9,-0.10000000000000007
1,0.971,50,9,-0.10000000000000007
0,1.9369999999999998,50,9,-0.10000000000000007
1,1.598,50,9,-0.10000000000000007
0,2.234,50,9,-0.10000000000000007
0,1.207,50,9,-0.10000000000000007
1,1.6019999999999999,50,9,0.1
0,1.851,50,9,0.1
1,3.514,50,9,0.1
1,1.273,50,9,0.1
1,1.321,50,9,0.1
1,1.645,50,9,0.1
0,0.11199999999999999,50,9,0.1
1,0.006999999999999999,50,9,0.1
0,0.09,50,9,0.1
1,0.345,50,9,0.1
1,3.1,50,9,0.575
0,1.7930000000000001,50,9,0.575
0,1.113,50,9,0.575
1,2.153,50,9,0.575
0,3.366,50,9,0.575
0,1.107,50,9,0.575
1,2.439,50,9,0.575
1,0.991,50,9,0.575
0,0.376,50,9,0.575
1,0.349,50,9,0.575
1,0.956,50,9,1.05
1,1.379,50,9,1.05
1,2.273,50,9,1.05
1,1.182,50,9,1.05
1,2.104,50,9,1.05
0,0.32799999999999996,50,9,1.05
1,2.477,50,9,1.05
1,0.395,50,9,1.05
1,0.08,50,9,1.05
1,0.136,50,9,1.05
1,1.3559999999999999,50,9,1.525
1,1.4609999999999999,50,9,1.525
0,1.112,50,9,1.525
1,1.359,50,9,1.525
0,0.05,50,9,1.525
1,1.05,50,9,1.525
0,0.408,50,9,1.525
1,0.075,50,9,1.525
1,0.537,50,9,1.525
0,0.134,50,9,1.525
1,1.42,50,9,2.0
1,1.541,50,9,2.0
1,1.077,50,9,2.0
0,0.126,50,9,2.0
0,0.5379999999999999,50,9,2.0
1,0.466,50,9,2.0
1,0.11900000000000001,50,9,2.0
1,0.081,50,9,2.0
1,1.834,50,9,2.0
0,0.11900000000000001,50,9,2.0
1,1.6540000000000001,50,93,-5.0
0,2.23,50,93,-5.0
0,6.3,50,93,-5.0
0,1.807,50,93,-5.0
0,3.385,50,93,-5.0
0,2.911,50,93,-5.0
0,1.518,50,93,-5.0
0,1.571,50,93,-5.0
0,2.2769999999999997,50,93,-5.0
0,1.81,50,93,-5.0
1,3.0469999999999997,50,93,-3.875
0,1.8030000000000002,50,93,-3.875
0,3.9610000000000003,50,93,-3.875
0,2.585,50,93,-3.875
0,2.1180000000000003,50,93,-3.875
0,2.693,50,93,-3.875
0,2.209,50,93,-3.875
0,0.8420000000000001,50,93,-3.875
0,0.81,50,93,-3.875
0,0.97,50,93,-3.875
0,3.484,50,93,-2.75
0,4.357,50,93,-2.75
0,2.5069999999999997,50,93,-2.75
0,2.012,50,93,-2.75
0,3.292,50,93,-2.75
0,2.64,50,93,-2.75
0,2.0540000000000003,50,93,-2.75
0,1.45,50,93,-2.75
0,1.445,50,93,-2.75
0,1.334,50,93,-2.75
1,3.6310000000000002,50,93,-1.625
0,1.7890000000000001,50,93,-1.625
1,1.3130000000000002,50,93,-1.625
0,2.965,50,93,-1.625
0,1.882,50,93,-1.625
0,1.122,50,93,-1.625
0,1.5819999999999999,50,93,-1.625
0,1.215,50,93,-1.625
0,2.15,50,93,-1.625
0,1.696,50,93,-1.625
1,9.509,50,93,-0.5
0,2.104,50,93,-0.5
1,2.148,50,93,-0.5
0,1.585,50,93,-0.5
0,1.4609999999999999,50,93,-0.5
0,1.6159999999999999,50,93,-0.5
0,1.571,50,93,-0.5
1,2.235,50,93,-0.5
1,1.838,50,93,-0.5
0,1.268,50,93,-0.5
1,1.7080000000000002,50,93,0.5
0,2.145,50,93,0.5
0,1.643,50,93,0.5
1,2.182,50,93,0.5
1,1.6469999999999998,50,93,0.5
0,1.38,50,93,0.5
0,0.297,50,93,0.5
1,0.083,50,93,0.5
1,0.113,50,93,0.5
1,2.18,50,93,1.625
1,1.567,50,93,1.625
1,1.875,50,93,1.625
1,1.4669999999999999,50,93,1.625
0,0.198,50,93,1.625
1,1.9280000000000002,50,93,1.625
1,0.36200000000000004,50,93,1.625
1,0.475,50,93,1.625
0,0.7040000000000001,50,93,1.625
1,1.2930000000000001,50,93,1.625
1,1.791,50,93,2.75
1,1.9809999999999999,50,93,2.75
0,1.5130000000000001,50,93,2.75
1,1.443,50,93,2.75
1,0.091,50,93,2.75
1,0.08199999999999999,50,93,2.75
1,0.33399999999999996,50,93,2.75
0,0.484,50,93,2.75
0,0.022000000000000002,50,93,2.75
0,0.32899999999999996,50,93,2.75
0,0.53,50,93,2.75
1,0.396,50,93,2.75
1,1.764,50,93,3.875
1,1.426,50,93,3.875
1,1.939,50,93,3.875
1,1.422,50,93,3.875
1,1.256,50,93,3.875
1,2.299,50,93,3.875
1,0.107,50,93,3.875
0,3.071,50,93,3.875
0,0.542,50,93,3.875
0,0.059000000000000004,50,93,3.875
1,1.906,50,93,5.0
1,1.4409999999999998,50,93,5.0
1,1.72,50,93,5.0
1,0.862,50,93,5.0
1,2.803,50,93,5.0
1,0.095,50,93,5.0
1,0.306,50,93,5.0
1,0.177,50,93,5.0
1,0.348,50,93,5.0
0,2.877,50,93,5.0
1,1.6059999999999999,50,177,-7.0
0,2.6510000000000002,50,177,-7.0
0,2.275,50,177,-7.0
0,3.298,50,177,-7.0
0,1.679,50,177,-7.0
0,1.48,50,177,-7.0
0,1.6769999999999998,50,177,-7.0
0,1.258,50,177,-7.0
0,1.895,50,177,-7.0
0,2.246,50,177,-7.0
0,2.307,50,177,-5.375
0,2.759,50,177,-5.375
0,1.368,50,177,-5.375
0,1.439,50,177,-5.375
0,2.8160000000000003,50,177,-5.375
0,1.237,50,177,-5.375
0,2.072,50,177,-5.375
0,1.831,50,177,-5.375
0,2.08,50,177,-5.375
1,1.626,50,177,-5.375
0,2.7489999999999997,50,177,-3.75
1,3.005,50,177,-3.75
0,2.86,50,177,-3.75
0,2.815,50,177,-3.75
0,2.449,50,177,-3.75
1,0.446,50,177,-3.75
0,3.162,50,177,-3.75
1,2.381,50,177,-3.75
0,1.555,50,177,-3.75
0,2.247,50,177,-3.75
0,2.8480000000000003,50,177,-2.125
1,3.463,50,177,-2.125
1,1.923,50,177,-2.125
0,2.7430000000000003,50,177,-2.125
0,2.6310000000000002,50,177,-2.125
0,1.5619999999999998,50,177,-2.125
0,1.281,50,177,-2.125
1,1.964,50,177,-2.125
0,1.263,50,177,-2.125
0,1.626,50,177,-2.125
0,2.356,50,177,-0.5
0,2.812,50,177,-0.5
1,1.74,50,177,-0.5
0,2.8819999999999997,50,177,-0.5
1,1.9409999999999998,50,177,-0.5
0,1.189,50,177,-0.5
1,2.366,50,177,-0.5
1,1.2670000000000001,50,177,-0.5
1,1.45,50,177,-0.5
1,2.23,50,177,-0.5
1,2.416,50,177,0.5
1,1.74,50,177,0.5
1,1.264,50,177,0.5
0,1.7519999999999998,50,177,0.5
0,6.843999999999999,50,177,0.5
1,1.4709999999999999,50,177,0.5
0,0.536,50,177,0.5
1,1.218,50,177,0.5
0,0.37799999999999995,50,177,0.5
1,1.389,50,177,0.5
1,1.944,50,177,2.125
1,1.215,50,177,2.125
1,2.197,50,177,2.125
0,4.792,50,177,2.125
1,1.903,50,177,2.125
1,1.112,50,177,2.125
1,1.11,50,177,2.125
1,0.057,50,177,2.125
1,0.083,50,177,2.125
1,1.065,50,177,2.125
1,1.9080000000000001,50,177,3.75
1,1.391,50,177,3.75
1,18.796,50,177,3.75
1,2.406,50,177,3.75
1,10.93,50,177,3.75
1,1.9580000000000002,50,177,3.75
0,0.193,50,177,3.75
0,0.036000000000000004,50,177,3.75
0,1.338,50,177,3.75
0,0.233,50,177,3.75
1,1.995,50,177,5.375
1,1.805,50,177,5.375
1,2.698,50,177,5.375
1,1.876,50,177,5.375
1,3.5180000000000002,50,177,5.375
1,1.16,50,177,5.375
0,0.879,50,177,5.375
0,0.08199999999999999,50,177,5.375
1,1.062,50,177,5.375
0,0.012,50,177,7.0
0,0.748,50,177,7.0
1,1.882,50,177,7.0
1,1.246,50,177,7.0
1,1.005,50,177,7.0
1,1.653,50,177,7.0
1,1.655,50,177,7.0
1,0.5710000000000001,50,177,7.0
1,1.756,50,177,7.0
0,4.3660000000000005,50,261,-8.0
0,6.715,50,261,-8.0
0,2.197,50,261,-8.0
0,1.669,50,261,-8.0
0,1.4680000000000002,50,261,-8.0
0,1.504,50,261,-8.0
0,1.891,50,261,-8.0
0,1.777,50,261,-8.0
0,3.0610000000000004,50,261,-8.0
0,0.9329999999999999,50,261,-8.0
0,1.722,50,261,-6.125
1,1.7730000000000001,50,261,-6.125
0,2.7239999999999998,50,261,-6.125
1,1.354,50,261,-6.125
0,2.28,50,261,-6.125
0,1.558,50,261,-6.125
1,1.1540000000000001,50,261,-6.125
0,2.575,50,261,-6.125
0,1.32,50,261,-6.125
1,0.6890000000000001,50,261,-6.125
1,3.84,50,261,-4.25
1,5.577999999999999,50,261,-4.25
0,1.805,50,261,-4.25
1,13.073,50,261,-4.25
1,2.924,50,261,-4.25
0,2.19,50,261,-4.25
0,1.786,50,261,-4.25
0,1.974,50,261,-4.25
0,1.8359999999999999,50,261,-4.25
1,1.456,50,261,-4.25
1,1.4280000000000002,50,261,-2.375
1,2.443,50,261,-2.375
1,2.383,50,261,-2.375
1,2.166,50,261,-2.375
1,1.294,50,261,-2.375
0,2.866,50,261,-2.375
1,1.8769999999999998,50,261,-2.375
1,1.053,50,261,-2.375
1,0.528,50,261,-2.375
0,1.162,50,261,-2.375
1,2.086,50,261,-0.5
0,1.34,50,261,-0.5
1,2.572,50,261,-0.5
1,2.011,50,261,-0.5
0,2.052,50,261,-0.5
0,1.2830000000000001,50,261,-0.5
0,1.663,50,261,-0.5
1,1.777,50,261,-0.5
0,1.7269999999999999,50,261,-0.5
0,0.747,50,261,-0.5
1,1.6969999999999998,50,261,0.5
0,1.285,50,261,0.5
0,2.705,50,261,0.5
