yes-answer,time,intensity,distance,Difference
1,0.268,50,9,-2.0
1,0.44,50,9,-2.0
0,0.408,50,9,-2.0
0,1.226,50,9,-2.0
0,1.1520000000000001,50,9,-2.0
0,1.213,50,9,-2.0
0,1.087,50,9,-2.0
0,1.72,50,9,-2.0
0,0.636,50,9,-2.0
0,0.797,50,9,-2.0
0,1.046,50,9,-1.525
0,1.26,50,9,-1.525
0,1.186,50,9,-1.525
0,1.355,50,9,-1.525
1,1.3559999999999999,50,9,-1.525
0,8.997,50,9,-1.525
0,1.192,50,9,-1.525
0,0.45899999999999996,50,9,-1.525
0,0.526,50,9,-1.525
0,0.581,50,9,-1.525
0,1.516,50,9,-1.05
0,0.637,50,9,-1.05
0,1.001,50,9,-1.05
0,1.324,50,9,-1.05
1,0.728,50,9,-1.05
0,0.584,50,9,-1.05
1,0.98,50,9,-1.05
1,0.622,50,9,-1.05
1,0.40299999999999997,50,9,-1.05
0,0.494,50,9,-1.05
0,17.549,50,9,-0.5750000000000002
0,1.082,50,9,-0.5750000000000002
1,0.537,50,9,-0.5750000000000002
0,0.368,50,9,-0.5750000000000002
1,0.542,50,9,-0.5750000000000002
0,0.48100000000000004,50,9,-0.5750000000000002
1,0.401,50,9,-0.5750000000000002
0,0.9,50,9,-0.5750000000000002
0,0.54,50,9,-0.5750000000000002
0,1.238,50,9,-0.5750000000000002
1,0.35200000000000004,50,9,-0.10000000000000007
1,0.4970000000000001,50,9,-0.10000000000000007
0,1.558,50,9,-0.10000000000000007
1,1.101,50,9,-0.10000000000000007
1,0.665,50,9,-0.10000000000000007
0,0.41600000000000004,50,9,-0.10000000000000007
1,0.603,50,9,-0.10000000000000007
0,0.428,50,9,-0.10000000000000007
0,0.595,50,9,-0.10000000000000007
1,0.46399999999999997,50,9,-0.10000000000000007
0,1.04,50,9,0.1
0,1.094,50,9,0.1
1,1.072,50,9,0.1
1,1.18,50,9,0.1
0,1.063,50,9,0.1
1,2.056,50,9,0.1
0,1.043,50,9,0.1
0,1.663,50,9,0.1
1,0.899,50,9,0.1
1,0.085,50,9,0.1
1,1.198,50,9,0.575
0,5.3020000000000005,50,9,0.575
1,3.113,50,9,0.575
1,1.386,50,9,0.575
1,1.097,50,9,0.575
1,1.244,50,9,0.575
0,0.9740000000000001,50,9,0.575
1,1.339,50,9,0.575
1,2.194,50,9,0.575
1,1.161,50,9,0.575
1,3.205,50,9,1.05
1,1.165,50,9,1.05
1,1.7890000000000001,50,9,1.05
0,1.17,50,9,1.05
1,1.262,50,9,1.05
0,1.195,50,9,1.05
1,17.261,50,9,1.05
1,1.125,50,9,1.05
1,0.978,50,9,1.05
0,0.27,50,9,1.05
1,0.951,50,9,1.525
1,1.274,50,9,1.525
1,0.978,50,9,1.525
1,1.088,50,9,1.525
1,1.038,50,9,1.525
1,1.103,50,9,1.525
1,1.625,50,9,1.525
1,5.098,50,9,1.525
1,0.856,50,9,1.525
1,0.8540000000000001,50,9,1.525
1,1.7930000000000001,50,9,2.0
1,1.217,50,9,2.0
1,1.044,50,9,2.0
1,1.172,50,9,2.0
1,1.136,50,9,2.0
0,0.222,50,9,2.0
0,0.6679999999999999,50,9,2.0
1,0.973,50,9,2.0
1,1.33,50,9,2.0
1,0.10400000000000001,50,9,2.0
1,3.7460000000000004,50,93,-5.0
0,0.648,50,93,-5.0
1,1.536,50,93,-5.0
0,3.715,50,93,-5.0
1,1.064,50,93,-5.0
0,1.33,50,93,-5.0
1,0.802,50,93,-5.0
0,0.5329999999999999,50,93,-5.0
0,0.499,50,93,-5.0
0,0.4270000000000001,50,93,-5.0
1,0.5820000000000001,50,93,-3.875
1,0.434,50,93,-3.875
0,0.508,50,93,-3.875
1,0.391,50,93,-3.875
0,1.178,50,93,-3.875
1,1.285,50,93,-3.875
0,1.5659999999999998,50,93,-3.875
1,1.064,50,93,-3.875
1,0.659,50,93,-3.875
0,2.134,50,93,-3.875
1,0.58,50,93,-2.75
0,0.239,50,93,-2.75
0,1.44,50,93,-2.75
1,1.4040000000000001,50,93,-2.75
1,0.5870000000000001,50,93,-2.75
1,0.435,50,93,-2.75
0,1.364,50,93,-2.75
0,5.996,50,93,-2.75
0,0.987,50,93,-2.75
0,0.35200000000000004,50,93,-2.75
0,50.952,50,93,-1.625
0,1.003,50,93,-1.625
0,58.626999999999995,50,93,-1.625
1,0.271,50,93,-1.625
1,0.3,50,93,-1.625
0,0.545,50,93,-1.625
1,0.875,50,93,-1.625
0,0.7879999999999999,50,93,-1.625
0,1.68,50,93,-1.625
1,2.468,50,93,-1.625
0,0.284,50,93,-0.5
1,0.536,50,93,-0.5
1,0.44,50,93,-0.5
1,1.7619999999999998,50,93,-0.5
0,2.161,50,93,-0.5
1,1.459,50,93,-0.5
0,0.46,50,93,-0.5
0,0.44,50,93,-0.5
1,0.4370000000000001,50,93,-0.5
0,0.48,50,93,-0.5
1,1.754,50,93,0.5
1,2.146,50,93,0.5
1,1.204,50,93,0.5
0,1.557,50,93,0.5
1,1.9469999999999998,50,93,0.5
1,1.3419999999999999,50,93,0.5
1,0.99,50,93,0.5
1,1.584,50,93,0.5
1,1.169,50,93,0.5
1,1.035,50,93,0.5
1,1.117,50,93,1.625
0,1.564,50,93,1.625
1,1.268,50,93,1.625
1,1.245,50,93,1.625
1,1.213,50,93,1.625
1,0.794,50,93,1.625
1,4.31,50,93,1.625
1,1.5630000000000002,50,93,1.625
0,1.734,50,93,1.625
1,0.444,50,93,1.625
1,1.618,50,93,2.75
0,1.5130000000000001,50,93,2.75
0,1.31,50,93,2.75
1,1.048,50,93,2.75
1,1.2990000000000002,50,93,2.75
0,0.392,50,93,2.75
0,0.502,50,93,2.75
1,0.718,50,93,2.75
0,1.097,50,93,2.75
1,1.79,50,93,2.75
1,1.778,50,93,3.875
1,1.26,50,93,3.875
1,2.004,50,93,3.875
1,1.84,50,93,3.875
1,2.78,50,93,3.875
0,1.093,50,93,3.875
1,0.902,50,93,3.875
1,2.83,50,93,3.875
0,1.972,50,93,3.875
0,1.16,50,93,3.875
1,2.365,50,93,5.0
0,0.986,50,93,5.0
1,1.126,50,93,5.0
1,1.751,50,93,5.0
1,2.068,50,93,5.0
1,1.652,50,93,5.0
1,0.9840000000000001,50,93,5.0
1,1.021,50,93,5.0
1,1.304,50,93,5.0
1,0.21100000000000002,50,93,5.0
1,0.489,50,177,-7.0
1,0.389,50,177,-7.0
0,1.165,50,177,-7.0
1,0.429,50,177,-7.0
0,2.461,50,177,-7.0
0,1.5819999999999999,50,177,-7.0
0,1.452,50,177,-7.0
0,0.8590000000000001,50,177,-7.0
0,0.802,50,177,-7.0
1,0.488,50,177,-7.0
1,0.8590000000000001,50,177,-5.375
0,0.433,50,177,-5.375
0,0.4,50,177,-5.375
0,0.381,50,177,-5.375
1,0.418,50,177,-5.375
1,2.13,50,177,-5.375
0,1.5390000000000001,50,177,-5.375
0,0.9359999999999999,50,177,-5.375
1,2.0669999999999997,50,177,-5.375
0,0.6709999999999999,50,177,-5.375
0,5.439,50,177,-3.75
1,18.029,50,177,-3.75
1,0.433,50,177,-3.75
0,0.24,50,177,-3.75
0,0.294,50,177,-3.75
1,0.418,50,177,-3.75
0,0.39899999999999997,50,177,-3.75
1,1.004,50,177,-3.75
0,0.5489999999999999,50,177,-3.75
0,0.8009999999999999,50,177,-3.75
0,8.762,50,177,-2.125
0,0.7170000000000001,50,177,-2.125
0,0.58,50,177,-2.125
1,0.243,50,177,-2.125
1,0.431,50,177,-2.125
0,0.45,50,177,-2.125
1,0.925,50,177,-2.125
1,1.814,50,177,-2.125
1,1.064,50,177,-2.125
1,0.484,50,177,-2.125
1,0.521,50,177,-0.5
1,0.557,50,177,-0.5
1,0.49,50,177,-0.5
0,0.968,50,177,-0.5
0,0.363,50,177,-0.5
0,0.457,50,177,-0.5
