yes-answer,time,intensity,distance,Difference
1,0.255,50,9,-2.0
0,77.58,50,9,-2.0
0,0.6890000000000001,50,9,-2.0
1,0.42100000000000004,50,9,-2.0
0,0.721,50,9,-2.0
0,0.713,50,9,-2.0
0,0.6920000000000001,50,9,-2.0
0,0.929,50,9,-2.0
0,0.8640000000000001,50,9,-2.0
0,0.941,50,9,-2.0
0,0.5529999999999999,50,9,-1.525
0,0.688,50,9,-1.525
0,0.713,50,9,-1.525
0,0.7390000000000001,50,9,-1.525
0,0.312,50,9,-1.525
0,0.728,50,9,-1.525
0,1.255,50,9,-1.525
0,0.9209999999999999,50,9,-1.525
0,1.025,50,9,-1.525
0,1.0590000000000002,50,9,-1.525
0,0.6459999999999999,50,9,-1.05
0,0.359,50,9,-1.05
0,0.6559999999999999,50,9,-1.05
0,0.609,50,9,-1.05
0,1.063,50,9,-1.05
0,1.088,50,9,-1.05
0,1.5430000000000001,50,9,-1.05
0,1.9340000000000002,50,9,-1.05
0,1.964,50,9,-1.05
0,1.1079999999999999,50,9,-0.5750000000000002
0,0.7659999999999999,50,9,-0.5750000000000002
0,0.47700000000000004,50,9,-0.5750000000000002
1,0.379,50,9,-0.5750000000000002
0,0.635,50,9,-0.5750000000000002
1,0.873,50,9,-0.5750000000000002
1,1.261,50,9,-0.5750000000000002
1,0.6579999999999999,50,9,-0.10000000000000007
0,0.9079999999999999,50,9,-0.10000000000000007
0,0.6729999999999999,50,9,-0.10000000000000007
1,0.5529999999999999,50,9,-0.10000000000000007
0,1.942,50,9,-0.10000000000000007
1,1.206,50,9,-0.10000000000000007
0,2.059,50,9,-0.10000000000000007
1,1.385,50,9,-0.10000000000000007
0,1.5019999999999998,50,9,-0.10000000000000007
0,1.6280000000000001,50,9,-0.10000000000000007
1,1.338,50,9,0.1
1,1.597,50,9,0.1
1,1.0590000000000002,50,9,0.1
1,1.611,50,9,0.1
1,1.048,50,9,0.1
1,3.167,50,9,0.1
1,1.3090000000000002,50,9,0.1
0,0.973,50,9,0.1
1,1.2919999999999998,50,9,0.1
1,1.7719999999999998,50,9,0.1
1,1.671,50,9,0.575
1,1.903,50,9,0.575
1,1.46,50,9,0.575
1,1.1840000000000002,50,9,0.575
0,1.266,50,9,0.575
1,2.144,50,9,0.575
1,0.99,50,9,0.575
1,1.129,50,9,0.575
1,1.27,50,9,0.575
1,1.072,50,9,0.575
1,1.31,50,9,1.05
1,1.3259999999999998,50,9,1.05
1,1.235,50,9,1.05
1,1.227,50,9,1.05
1,2.451,50,9,1.05
1,1.036,50,9,1.05
1,1.153,50,9,1.05
1,1.486,50,9,1.05
1,0.9159999999999999,50,9,1.05
1,0.966,50,9,1.05
1,1.36,50,9,1.525
1,1.341,50,9,1.525
1,1.23,50,9,1.525
0,1.004,50,9,1.525
1,1.5330000000000001,50,9,1.525
1,1.247,50,9,1.525
1,0.89,50,9,1.525
1,1.083,50,9,1.525
1,0.772,50,9,1.525
1,0.7909999999999999,50,9,1.525
1,1.195,50,9,2.0
1,0.9109999999999999,50,9,2.0
1,1.145,50,9,2.0
1,0.9,50,9,2.0
1,1.023,50,9,2.0
1,1.088,50,9,2.0
1,1.464,50,9,2.0
1,0.914,50,9,2.0
1,1.374,50,9,2.0
1,0.8029999999999999,50,9,2.0
0,0.705,50,93,-5.0
0,0.695,50,93,-5.0
0,0.257,50,93,-5.0
0,2.5140000000000002,50,93,-5.0
0,0.851,50,93,-5.0
0,1.3719999999999999,50,93,-5.0
1,1.193,50,93,-5.0
0,0.968,50,93,-5.0
0,0.823,50,93,-3.875
0,1.004,50,93,-3.875
0,1.146,50,93,-3.875
0,1.5619999999999998,50,93,-3.875
0,1.4980000000000002,50,93,-3.875
0,1.965,50,93,-3.875
0,1.5719999999999998,50,93,-3.875
0,0.507,50,93,-2.75
0,0.955,50,93,-2.75
0,0.758,50,93,-2.75
1,0.505,50,93,-2.75
0,0.5529999999999999,50,93,-2.75
0,0.366,50,93,-2.75
0,0.995,50,93,-2.75
0,1.473,50,93,-2.75
0,1.183,50,93,-2.75
0,0.609,50,93,-1.625
0,0.777,50,93,-1.625
0,0.684,50,93,-1.625
1,0.542,50,93,-1.625
0,0.76,50,93,-1.625
0,0.748,50,93,-1.625
0,0.679,50,93,-1.625
0,1.222,50,93,-1.625
1,0.6940000000000001,50,93,-0.5
0,0.6970000000000001,50,93,-0.5
1,0.733,50,93,-0.5
0,0.581,50,93,-0.5
0,0.627,50,93,-0.5
1,3.3369999999999997,50,93,-0.5
0,1.2830000000000001,50,93,-0.5
0,1.3359999999999999,50,93,-0.5
0,1.521,50,93,-0.5
0,1.745,50,93,-0.5
1,1.334,50,93,0.5
1,2.312,50,93,0.5
0,1.756,50,93,0.5
1,1.3359999999999999,50,93,0.5
0,1.994,50,93,0.5
0,1.41,50,93,0.5
1,1.632,50,93,0.5
1,1.568,50,93,0.5
0,2.3209999999999997,50,93,0.5
1,1.376,50,93,0.5
0,1.608,50,93,1.625
1,1.4480000000000002,50,93,1.625
1,1.176,50,93,1.625
1,1.311,50,93,1.625
0,1.4040000000000001,50,93,1.625
0,2.065,50,93,1.625
1,1.06,50,93,1.625
1,2.609,50,93,1.625
1,1.6280000000000001,50,93,1.625
1,1.192,50,93,1.625
1,1.973,50,93,2.75
1,1.1079999999999999,50,93,2.75
1,1.6059999999999999,50,93,2.75
1,2.09,50,93,2.75
1,2.0909999999999997,50,93,2.75
1,1.2790000000000001,50,93,2.75
1,1.022,50,93,2.75
1,1.965,50,93,2.75
1,1.2009999999999998,50,93,2.75
1,2.496,50,93,2.75
1,1.82,50,93,3.875
1,1.694,50,93,3.875
