yes-answer,time,intensity,distance,Difference
0,1.4469999999999998,50,9,-2.0
0,0.843,50,9,-2.0
0,1.5619999999999998,50,9,-2.0
0,2.194,50,9,-2.0
0,1.244,50,9,-2.0
0,0.961,50,9,-2.0
0,0.975,50,9,-2.0
0,1.713,50,9,-2.0
0,2.021,50,9,-2.0
0,1.311,50,9,-2.0
0,1.156,50,9,-1.525
1,1.469,50,9,-1.525
1,1.3419999999999999,50,9,-1.525
0,1.4180000000000001,50,9,-1.525
0,1.4469999999999998,50,9,-1.525
0,1.301,50,9,-1.525
0,1.328,50,9,-1.525
0,1.17,50,9,-1.525
0,1.4069999999999998,50,9,-1.525
0,0.871,50,9,-1.525
0,2.094,50,9,-1.05
0,1.774,50,9,-1.05
0,1.65,50,9,-1.05
0,1.571,50,9,-1.05
0,1.68,50,9,-1.05
0,1.1520000000000001,50,9,-1.05
0,1.401,50,9,-1.05
0,1.6219999999999999,50,9,-1.05
0,2.628,50,9,-1.05
0,1.439,50,9,-1.05
1,2.106,50,9,-0.5750000000000002
0,1.135,50,9,-0.5750000000000002
0,1.374,50,9,-0.5750000000000002
0,2.0140000000000002,50,9,-0.5750000000000002
0,1.788,50,9,-0.5750000000000002
0,1.17,50,9,-0.5750000000000002
0,1.24,50,9,-0.5750000000000002
0,2.305,50,9,-0.5750000000000002
0,1.248,50,9,-0.5750000000000002
0,0.932,50,9,-0.5750000000000002
0,1.103,50,9,-0.10000000000000007
0,1.492,50,9,-0.10000000000000007
1,1.983,50,9,-0.10000000000000007
0,1.574,50,9,-0.10000000000000007
1,1.2209999999999999,50,9,-0.10000000000000007
0,1.062,50,9,-0.10000000000000007
0,1.587,50,9,-0.10000000000000007
1,1.73,50,9,-0.10000000000000007
0,2.95,50,9,-0.10000000000000007
0,1.358,50,9,-0.10000000000000007
0,2.096,50,9,0.1
0,2.29,50,9,0.1
1,1.186,50,9,0.1
0,3.1919999999999997,50,9,0.1
1,1.715,50,9,0.1
1,5.032,50,9,0.1
