intensity,distance,bound_lower,bound_upper
50,9,-2.0,2.0
50,93,-5.0,5.0
50,177,-7.0,7.0
50,261,-8.0,8.0
50,345,-9.0,9.0
100,9,-2.0,2.0
100,93,-5.0,5.0
100,177,-7.0,7.0
100,261,-8.0,8.0
100,345,-9.0,9.0
150,9,-2.0,2.0
150,93,-5.0,5.0
150,177,-7.0,7.0
150,261,-8.0,8.0
150,345,-9.0,9.0
200,9,-2.0,2.0
200,93,-5.0,5.0
200,177,-7.0,7.0
200,261,-8.0,8.0
200,345,-9.0,9.0
250,9,-2.0,2.0
250,93,-5.0,5.0
250,177,-7.0,7.0
250,261,-8.0,8.0
250,345,-9.0,9.0
