intensity,distance,bound_lower,bound_upper
10,0,-1.0,1.0
10,50,-2.0,2.0
10,100,-3.0,3.0
10,150,-4.0,4.0
10,200,-5.0,5.0
20,0,-2.5,2.5
20,50,-3.5,3.5
20,100,-4.5,4.5
20,150,-5.5,5.5
20,200,-6.5,6.5
30,0,-3.5,3.5
30,50,-4.0,4.0
30,100,-5.0,5.0
30,150,-6.0,6.0
30,200,-7.0,7.0
40,0,-4.0,4.0
40,50,-5.0,5.0
40,100,-6.0,6.0
40,150,-7.0,7.0
40,200,-8.0,8.0
50,0,-5.5,5.5
50,50,-6.0,6.0
50,100,-7.0,7.0
50,150,-8.0,8.0
50,200,-9.0,9.0
