distance,intensity,jnd,userid
150,20,0.959887222,47_33
0,40,0.963793405,137_85
50,50,0.965192081,75_65
0,40,0.966312991,104_62
200,40,0.967639149,47_33
50,50,0.968229403,183_31
100,20,0.971298007,47_33
0,20,0.971376576,21_44
150,20,0.971592631,178_29
100,20,0.976935351,98_96
100,40,0.977401321,183_31
50,50,0.978186255,137_85
150,20,0.978596013,110_54
50,40,0.986184058,178_29
150,40,0.986984118,68_72
100,20,0.991498746,178_29
50,10,0.992891464,105_135
100,20,0.994735037,144_180
200,10,0.998055968,98_96
50,30,1.002603207,144_180
50,40,1.006850267,47_33
100,10,1.008477047,141_150
50,20,1.008494451,104_62
100,40,1.010943818,101_49
150,50,1.011734188,101_49
0,40,1.019757965,47_33
0,20,1.021686599,126_82
200,40,1.025324751,101_49
100,30,1.02768028,137_85
0,40,1.028039793,88_127
100,30,1.030532411,101_49
50,40,1.031665948,183_31
100,30,1.034242711,77_104
0,50,1.03443193,104_62
0,10,1.039343638,6_70
150,40,1.045627537,144_180
100,30,1.047016582,13_93
100,20,1.047964331,110_54
0,50,1.05174288,98_96
150,30,1.05451866,137_85
50,20,1.056094223,125_121
100,10,1.056338588,21_44
100,40,1.059979667,144_180
0,20,1.0638923,36_41
150,20,1.067475681,104_62
150,20,1.070682574,75_65
150,10,1.072244259,125_121
100,50,1.073821966,47_33
200,20,1.075109715,144_180
50,30,1.075276031,75_65
0,30,1.075733669,75_65
100,40,1.079093487,47_33
50,40,1.080307464,144_180
100,30,1.080307464,98_96
0,50,1.080394964,75_65
150,40,1.080936859,101_49
0,30,1.084007759,82_51
50,20,1.08973292,91_78
0,50,1.090767386,13_93
200,20,1.093582757,137_85
50,40,1.096563074,75_65
50,40,1.097650017,27_178
50,30,1.098899697,88_127
200,20,1.100434,77_104
150,40,1.103870305,104_62
50,40,1.106589143,101_49
0,50,1.108509406,137_85
0,30,1.10935843,98_96
50,50,1.111923452,27_178
100,10,1.11412169,126_82
100,50,1.115588973,123_80
100,50,1.116730969,137_85
0,40,1.119167835,13_93
100,10,1.121027288,125_121
150,10,1.121754986,141_150
100,50,1.121784123,91_78
50,30,1.121916198,98_96
0,50,1.124029872,144_180
100,30,1.125152502,47_33
50,10,1.128707538,125_121
150,20,1.13052253,144_180
100,30,1.131194673,75_65
100,30,1.135098511,27_178
150,40,1.137885265,47_33
150,10,1.138137873,31_105
50,50,1.13880615,123_80
50,40,1.138818959,98_96
100,50,1.141716554,144_180
0,40,1.146581347,91_78
50,20,1.146610821,123_80
200,10,1.149261639,104_62
50,20,1.149962717,110_54
50,30,1.150306653,27_178
100,20,1.152728612,88_127
50,40,1.15961673,77_104
100,30,1.160676865,178_29
100,50,1.161819904,101_49
0,30,1.162599651,141_150
0,30,1.172434483,110_54
200,30,1.17443336,13_93
200,40,1.177611396,110_54
50,30,1.178598953,183_31
200,20,1.179732902,88_127
150,50,1.180539133,27_178
100,30,1.186430646,183_31
200,50,1.19010738,178_29
150,50,1.191627789,144_180
0,30,1.192012451,125_121
200,10,1.200293257,31_105
100,50,1.20639223,98_96
0,50,1.209160377,91_78
0,30,1.214236468,91_78
200,30,1.215326916,110_54
200,20,1.217858115,110_54
0,30,1.220823045,68_72
100,10,1.221133465,68_72
100,50,1.221802293,13_93
100,20,1.224338735,77_104
100,10,1.229728829,36_41
200,50,1.231904284,183_31
50,50,1.234586948,101_49
50,20,1.240234073,68_72
50,40,1.246310045,88_127
200,40,1.249585152,183_31
200,10,1.251560423,36_41
50,50,1.251912781,178_29
0,20,1.252034841,105_135
100,50,1.252980983,178_29
0,40,1.255333655,68_72
0,40,1.257384533,141_150
200,20,1.258988762,178_29
50,20,1.268713758,21_44
100,50,1.271026686,68_72
0,40,1.278543415,183_31
100,50,1.292166616,77_104
100,50,1.292166616,88_127
0,50,1.294150464,88_127
100,20,1.296577439,27_178
0,50,1.29714372,141_150
100,40,1.304983605,123_80
50,20,1.305579947,141_150
50,50,1.30817886,13_93
150,20,1.312861048,68_72
100,20,1.317720844,13_93
100,50,1.317897885,75_65
150,30,1.318116064,13_93
0,40,1.325021514,27_178
100,30,1.325062956,141_150
150,30,1.325639066,144_180
50,10,1.329467956,150_110
100,40,1.335523165,27_178
200,10,1.339069793,68_72
50,50,1.342151641,98_96
200,10,1.342256571,71_124
100,40,1.342586831,178_29
100,50,1.342979567,110_54
200,20,1.350500267,27_178
0,30,1.351777424,123_80
150,10,1.352822911,21_44
0,30,1.355371722,71_124
50,30,1.357926186,82_51
100,40,1.360581273,68_72
0,30,1.366083599,126_82
0,30,1.368480453,36_41
150,50,1.370097,137_85
50,20,1.372866339,82_51
100,50,1.373776986,183_31
150,30,1.377995685,77_104
50,30,1.378273265,31_105
200,50,1.381642414,137_85
100,20,1.388277536,21_44
200,30,1.394600058,183_31
200,50,1.395861696,101_49
150,50,1.396308109,110_54
150,40,1.401005839,123_80
200,30,1.401005839,75_65
200,40,1.40857613,13_93
150,20,1.408681026,98_96
50,30,1.414193109,141_150
200,20,1.422637814,183_31
100,20,1.426810107,123_80
50,50,1.432190252,77_104
50,30,1.433288356,71_124
150,20,1.433524292,91_78
100,50,1.433551412,27_178
100,30,1.43547348,104_62
100,30,1.436772656,110_54
100,10,1.437664637,150_110
50,30,1.438050111,104_62
200,30,1.438603187,68_72
200,40,1.439120114,144_180
200,40,1.446414246,98_96
50,20,1.448280388,31_105
0,50,1.449604769,110_54
150,40,1.451084676,75_65
200,30,1.452109558,27_178
200,10,1.455343418,91_78
0,40,1.459230577,125_121
50,30,1.459230579,91_78
100,40,1.463886726,71_124
0,30,1.471689759,183_31
150,10,1.473226912,71_124
200,30,1.473722475,178_29
0,40,1.473770855,110_54
200,30,1.475331857,98_96
200,30,1.477906616,88_127
0,50,1.48060372,27_178
200,50,1.485973584,110_54
200,30,1.487448662,144_180
150,40,1.487741177,178_29
100,30,1.490091995,71_124
150,50,1.494816828,13_93
100,20,1.505261576,91_78
50,30,1.509436558,110_54
100,20,1.510026537,68_72
200,30,1.515739781,123_80
200,10,1.517911233,82_51
150,50,1.518638379,183_31
100,40,1.523206552,141_150
100,40,1.525915361,98_96
150,40,1.52697584,125_121
200,30,1.527829095,77_104
200,40,1.528646579,27_178
50,40,1.531487533,141_150
150,10,1.537268346,36_41
100,10,1.539241191,6_70
50,50,1.541604982,88_127
100,40,1.541604982,75_65
200,50,1.541735404,98_96
100,20,1.548332714,141_150
0,50,1.550054633,68_72
200,30,1.550198078,91_78
200,50,1.551450926,68_72
100,30,1.552905307,68_72
150,40,1.554418835,27_178
50,50,1.555954831,91_78
200,10,1.559055935,125_121
150,50,1.559783735,47_33
50,20,1.564941473,105_135
50,30,1.570441765,123_80
100,40,1.57403086,88_127
150,40,1.575292033,98_96
150,10,1.575887444,82_51
50,40,1.583906562,91_78
50,40,1.586807998,68_72
150,50,1.588558774,98_96
100,20,1.592519111,36_41
150,30,1.592744594,178_29
50,50,1.599754288,125_121
50,30,1.602482783,13_93
150,30,1.602839783,110_54
150,40,1.603750787,13_93
200,20,1.604087167,75_65
0,30,1.604605188,21_44
100,40,1.605826256,91_78
100,20,1.606545442,31_105
200,40,1.611532228,77_104
200,20,1.61223451,13_93
150,50,1.616972275,75_65
150,40,1.62107879,71_124
50,30,1.624740613,125_121
100,50,1.638723488,71_124
100,20,1.640676567,71_124
150,30,1.64117389,183_31
150,50,1.645546763,178_29
0,50,1.646838645,126_82
150,40,1.646908954,91_78
100,20,1.647304101,82_51
100,20,1.647304101,104_62
0,40,1.648496208,123_80
200,20,1.652200257,141_150
50,40,1.653079998,110_54
150,30,1.654284314,98_96
0,50,1.659060028,125_121
200,20,1.659271348,104_62
0,50,1.659953577,47_33
200,50,1.660420943,88_127
200,50,1.664515218,104_62
200,10,1.665558849,141_150
50,30,1.667499501,68_72
150,30,1.685005895,123_80
150,20,1.685698376,123_80
0,20,1.709137052,150_110
150,50,1.711651078,68_72
150,30,1.720409323,68_72
50,40,1.72537147,71_124
0,30,1.725885201,150_110
50,40,1.726365005,21_44
100,40,1.727180335,31_105
50,50,1.728330078,104_62
150,30,1.729374127,75_65
50,20,1.736674141,36_41
100,50,1.738580434,31_105
200,50,1.747489964,77_104
150,20,1.751885874,82_51
50,40,1.752420618,123_80
0,50,1.757367742,21_44
200,50,1.761688694,141_150
200,40,1.765588336,91_78
100,50,1.768377237,104_62
200,50,1.771810063,27_178
50,40,1.772594833,31_105
150,20,1.776804266,71_124
150,10,1.815100832,105_135
200,50,1.822890859,123_80
50,30,1.825681541,105_135
150,20,1.826133836,150_110
50,20,1.833860668,126_82
50,50,1.83399257,68_72
150,40,1.838118092,110_54
100,30,1.84094529,123_80
0,50,1.841721079,71_124
0,40,1.843922166,31_105
150,30,1.848650331,71_124
0,40,1.855375602,71_124
