distance,intensity,jnd,userid
177,150,1.13497394,8_91
93,200,1.135982797,79_125
9,150,1.141610335,130_90
177,250,1.14718987,63_137
93,100,1.165377062,89_94
93,200,1.168041711,135_83
177,200,1.18016175,44_25
9,200,1.192321937,100_119
93,150,1.20067169,135_83
177,100,1.201087928,63_137
93,100,1.215021658,62_116
93,50,1.216733344,74_102
93,100,1.219083678,74_102
177,250,1.220317485,44_25
177,50,1.231123473,135_83
93,250,1.235549281,80_74
93,50,1.243458511,81_47
93,100,1.25128584,97_60
177,250,1.251817498,8_91
93,200,1.253289619,83_55
177,50,1.262689442,66_122
261,50,1.272743057,60_63
93,50,1.277095972,61_52
93,50,1.282644019,97_60
177,200,1.285940545,60_63
93,250,1.286834378,83_55
177,150,1.290326333,44_25
177,250,1.307367391,64_45
93,150,1.314688699,19_42
93,250,1.316683629,61_52
177,50,1.325283056,63_137
177,50,1.325283056,23_177
261,200,1.327309156,60_63
177,50,1.32787481,8_91
177,150,1.327874811,60_63
9,200,1.337804968,102_133
93,250,1.338804116,59_69
93,100,1.339195687,80_74
345,50,1.356711983,135_83
9,50,1.364371298,102_133
345,250,1.372482467,60_63
261,250,1.372710518,8_91
261,50,1.373490548,81_47
93,100,1.378052661,81_47
93,50,1.37902928,89_94
261,200,1.379104089,8_91
93,50,1.382539738,80_74
9,200,1.41153847,130_90
9,100,1.415048268,102_133
9,250,1.415439875,100_119
345,200,1.416682841,44_25
93,150,1.424032384,79_125
177,50,1.42936312,89_94
261,200,1.433140484,63_137
9,50,1.443165144,130_90
93,50,1.447733858,135_83
261,100,1.453478805,60_63
345,250,1.471092236,44_25
177,50,1.476688166,62_116
345,250,1.478351691,8_91
93,250,1.478758145,34_39
177,100,1.520670132,8_91
261,50,1.529894773,8_91
345,50,1.538994201,63_137
177,50,1.547700061,81_47
177,150,1.55814098,66_122
177,200,1.563789386,23_177
345,100,1.574498659,8_91
9,50,1.576680208,100_119
345,50,1.587980815,81_47
93,250,1.590072521,62_116
261,100,1.591516348,8_91
93,200,1.592349828,34_39
93,150,1.594796396,89_94
177,100,1.59818205,19_42
93,50,1.618469246,62_116
93,100,1.637722816,83_55
345,200,1.655779389,60_63
93,150,1.656044511,61_52
177,50,1.673039244,97_60
345,100,1.689455508,44_25
177,250,1.689490045,89_94
261,50,1.692293656,64_45
345,150,1.703297035,60_63
93,250,1.741171475,19_42
261,150,1.741227319,60_63
177,100,1.747778627,64_45
93,50,1.75111584,79_125
345,50,1.755379176,66_122
261,50,1.75993517,63_137
261,250,1.760022272,66_122
93,200,1.764472838,62_116
93,150,1.767212089,74_102
261,100,1.778063356,135_83
93,250,1.779425328,79_125
345,50,1.804336619,64_45
261,250,1.811938403,64_45
177,200,1.813724184,97_60
177,250,1.826149022,66_122
345,150,1.828134313,66_122
177,150,1.828741328,81_47
261,100,1.84035453,66_122
177,50,1.848758273,80_74
261,150,1.849564969,44_25
93,50,1.851974736,59_69
177,100,1.856112626,23_177
345,50,1.882378697,23_177
93,200,1.88480626,80_74
177,200,1.888462877,81_47
177,250,1.891347281,74_102
177,150,1.89835378,89_94
177,200,1.910709835,64_45
177,200,1.920555768,89_94
93,150,1.921284001,80_74
261,200,1.92499616,66_122
93,100,1.945560067,61_52
93,50,1.984249814,83_55
261,150,2.032233153,66_122
177,250,2.045673477,135_83
345,50,2.058502968,61_52
345,250,2.065045139,64_45
345,150,2.069877829,44_25
345,50,2.069877829,62_116
177,50,2.070065609,74_102
345,250,2.08145458,63_137
261,150,2.083344442,64_45
93,50,2.094923428,148_108
261,250,2.096184215,23_177
261,50,2.096184215,89_94
93,250,2.107482483,191_33
93,150,2.10756314,34_39
93,150,2.114494572,3_67
345,100,2.12459089,135_83
261,150,2.130272324,81_47
177,200,2.136135378,80_74
261,150,2.13689171,23_177
93,50,2.140674785,191_33
261,150,2.141402683,79_125
177,150,2.149916774,23_177
261,50,2.151096694,62_116
345,50,2.154685385,8_91
93,150,2.158549882,62_116
261,100,2.161847283,44_25
345,50,2.162512038,74_102
345,250,2.169279484,135_83
261,200,2.171386783,64_45
93,200,2.172149527,148_108
177,200,2.179270309,74_102
93,200,2.186913673,61_52
345,50,2.194826944,79_125
345,250,2.201156558,66_122
177,200,2.204205339,79_125
177,250,2.204991795,61_52
345,100,2.207816769,66_122
93,200,2.212085759,59_69
345,150,2.214609532,89_94
177,50,2.21594218,61_52
261,150,2.21612864,8_91
177,50,2.227184376,79_125
177,150,2.22753347,135_83
177,250,2.227830819,97_60
261,250,2.22826054,81_47
261,50,2.247010761,66_122
177,150,2.250089709,79_125
345,150,2.257475069,63_137
93,150,2.267231447,83_55
261,250,2.276349329,135_83
345,200,2.289119923,8_91
345,200,2.294890202,64_45
345,100,2.29852309,64_45
261,50,2.307299061,74_102
177,200,2.315329127,62_116
261,250,2.318858476,63_137
177,150,2.320366302,64_45
261,100,2.324776616,63_137
261,250,2.341741215,19_42
345,150,2.346999846,8_91
177,100,2.352449641,81_47
93,50,2.35668819,18_66
177,100,2.357767592,97_60
261,200,2.36018295,81_47
177,50,2.365460964,59_69
345,100,2.374833408,81_47
261,200,2.381028008,44_25
345,200,2.39577084,66_122
177,100,2.4033833,135_83
261,200,2.419355289,135_83
93,50,2.420515298,34_39
177,100,2.423957837,83_55
93,150,2.424986678,191_33
345,50,2.425302631,89_94
261,100,2.428223363,89_94
93,50,2.455899216,19_42
93,100,2.457824173,79_125
261,150,2.488464596,63_137
261,50,2.488809957,97_60
93,200,2.502084578,3_67
177,50,2.508325581,83_55
177,250,2.545905954,81_47
345,100,2.593827258,60_63
93,200,2.614788872,120_73
93,50,2.623373083,120_73
177,200,2.62741609,135_83
93,200,2.642140414,19_42
261,200,2.653965118,89_94
345,150,2.670896521,23_177
261,100,2.674996661,81_47
177,250,2.687042103,83_55
261,100,2.697273085,23_177
261,150,2.698275335,135_83
93,200,2.722779911,191_33
261,50,2.725350015,80_74
261,100,2.729249699,64_45
345,100,2.755164904,63_137
261,200,2.767404739,23_177
261,50,2.76964605,61_52
177,100,2.785431913,89_94
177,150,2.812934487,83_55
345,50,2.813523796,120_73
93,150,2.813839537,59_69
261,150,2.839942109,19_42
345,200,2.842333864,81_47
93,100,2.862692328,191_33
345,250,2.865946051,19_42
345,100,2.870874036,74_102
261,250,2.874756954,89_94
93,250,2.907124482,102_133
177,200,2.912415075,34_39
177,150,2.915231116,97_60
345,150,2.926282065,81_47
345,250,2.937899986,89_94
93,250,2.939849212,3_67
261,50,2.942469936,79_125
345,250,2.963332547,81_47
93,100,2.976121793,34_39
261,150,3.004298139,83_55
177,100,3.016732579,74_102
345,250,3.021853259,74_102
345,150,3.021929141,135_83
261,50,3.026436235,148_108
93,250,3.028767051,18_66
345,50,3.045095295,191_33
345,250,3.050063685,83_55
345,150,3.050584826,191_33
345,150,3.06145059,64_45
93,200,3.078603925,130_90
93,150,3.08811533,148_108
93,50,3.098739459,100_119
261,50,3.103174019,120_73
261,150,3.108315649,97_60
261,150,3.111765116,89_94
177,250,3.126739445,34_39
177,200,3.129131725,61_52
177,150,3.14810224,62_116
345,100,3.160783902,23_177
