yes-answer,time,distance,intensity,difference
1,0.633,0,10,-3.0
1,0.514,0,10,-3.0
1,0.536,0,10,-3.0
0,0.958,0,10,-3.0
1,0.451,0,10,-3.0
0,1.262,0,10,-3.0
1,1.921,0,10,-3.0
1,0.501,0,10,-3.0
0,1.072,0,10,-3.0
1,0.88,0,10,-3.0
0,1.642,0,10,-2.375
1,0.4370000000000001,0,10,-2.375
0,0.608,0,10,-2.375
0,1.3330000000000002,0,10,-2.375
0,1.472,0,10,-2.375
0,1.621,0,10,-2.375
0,1.19,0,10,-2.375
0,1.951,0,10,-2.375
0,0.583,0,10,-2.375
1,0.453,0,10,-2.375
0,1.768,0,10,-1.75
1,0.5379999999999999,0,10,-1.75
0,0.629,0,10,-1.75
0,0.959,0,10,-1.75
0,0.472,0,10,-1.75
0,0.421,0,10,-1.75
1,0.444,0,10,-1.75
0,1.14,0,10,-1.75
0,1.159,0,10,-1.75
0,0.494,0,10,-1.75
1,1.188,0,10,-1.125
1,0.466,0,10,-1.125
1,0.644,0,10,-1.125
0,0.8270000000000001,0,10,-1.125
0,2.236,0,10,-1.125
1,0.943,0,10,-1.125
1,0.536,0,10,-1.125
0,0.597,0,10,-1.125
1,0.555,0,10,-1.125
1,1.506,0,10,-1.125
0,0.54,0,10,-0.5
0,1.145,0,10,-0.5
0,0.6,0,10,-0.5
1,0.441,0,10,-0.5
1,2.19,0,10,-0.5
0,3.529,0,10,-0.5
0,0.561,0,10,-0.5
0,0.962,0,10,-0.5
1,0.561,0,10,-0.5
0,0.982,0,10,-0.5
1,1.462,0,10,0.5
0,0.519,0,10,0.5
0,0.473,0,10,0.5
0,0.434,0,10,0.5
0,0.457,0,10,0.5
1,1.065,0,10,0.5
1,0.311,0,10,0.5
0,19.785,0,10,0.5
0,1.425,0,10,0.5
1,0.6459999999999999,0,10,0.5
0,1.749,0,10,1.125
1,1.965,0,10,1.125
1,1.867,0,10,1.125
1,1.065,0,10,1.125
1,2.352,0,10,1.125
1,0.456,0,10,1.125
0,0.404,0,10,1.125
1,1.206,0,10,1.125
0,0.363,0,10,1.125
0,0.298,0,10,1.125
1,6.171,0,10,1.75
1,1.293,0,10,1.75
1,1.33,0,10,1.75
0,0.468,0,10,1.75
1,0.366,0,10,1.75
1,1.118,0,10,1.75
1,0.44,0,10,1.75
1,0.413,0,10,1.75
0,0.41,0,10,1.75
0,0.396,0,10,1.75
1,1.709,0,10,2.375
0,1.263,0,10,2.375
0,0.897,0,10,2.375
1,1.871,0,10,2.375
0,0.446,0,10,2.375
1,0.385,0,10,2.375
1,0.364,0,10,2.375
1,1.5219999999999998,0,10,2.375
1,0.229,0,10,2.375
0,0.379,0,10,2.375
