yes-answer,time,distance,intensity,difference
0,1.34,0,10,-3.0
0,1.3090000000000002,0,10,-3.0
0,2.438,0,10,-3.0
0,1.999,0,10,-3.0
0,1.341,0,10,-3.0
0,2.985,0,10,-3.0
0,1.122,0,10,-3.0
0,1.713,0,10,-3.0
0,1.859,0,10,-3.0
0,2.497,0,10,-3.0
0,2.045,0,10,-2.375
0,1.495,0,10,-2.375
0,1.145,0,10,-2.375
0,1.311,0,10,-2.375
0,2.113,0,10,-2.375
0,1.848,0,10,-2.375
0,1.525,0,10,-2.375
0,1.477,0,10,-2.375
0,2.432,0,10,-2.375
0,2.112,0,10,-2.375
0,6.481,0,10,-1.75
0,1.558,0,10,-1.75
0,1.4269999999999998,0,10,-1.75
0,2.081,0,10,-1.75
0,1.515,0,10,-1.75
0,2.689,0,10,-1.75
0,0.204,0,10,-1.75
0,1.352,0,10,-1.75
0,1.821,0,10,-1.75
0,1.288,0,10,-1.75
0,1.743,0,10,-1.125
0,1.362,0,10,-1.125
0,1.965,0,10,-1.125
0,1.3119999999999998,0,10,-1.125
0,3.52,0,10,-1.125
0,2.647,0,10,-1.125
0,2.29,0,10,-1.125
0,2.046,0,10,-1.125
0,1.7619999999999998,0,10,-1.125
0,2.616,0,10,-1.125
0,2.157,0,10,-0.5
0,1.567,0,10,-0.5
0,2.258,0,10,-0.5
0,1.086,0,10,-0.5
0,1.43,0,10,-0.5
0,2.776,0,10,-0.5
0,2.014,0,10,-0.5
0,1.631,0,10,-0.5
0,1.895,0,10,-0.5
0,2.594,0,10,-0.5
1,1.714,0,10,0.5
1,2.929,0,10,0.5
1,10.344,0,10,0.5
1,4.512,0,10,0.5
1,4.613,0,10,0.5
1,1.892,0,10,0.5
0,1.385,0,10,0.5
0,2.755,0,10,0.5
1,1.44,0,10,0.5
0,1.273,0,10,0.5
1,3.895,0,10,1.125
1,2.94,0,10,1.125
1,1.809,0,10,1.125
1,2.882,0,10,1.125
1,1.215,0,10,1.125
1,2.347,0,10,1.125
1,1.1740000000000002,0,10,1.125
0,2.003,0,10,1.125
0,2.306,0,10,1.125
1,1.283,0,10,1.125
1,1.662,0,10,1.75
1,2.859,0,10,1.75
1,1.237,0,10,1.75
1,1.93,0,10,1.75
1,1.5759999999999998,0,10,1.75
1,1.908,0,10,1.75
1,1.139,0,10,1.75
0,1.872,0,10,1.75
1,1.885,0,10,1.75
1,4.297,0,10,1.75
1,2.071,0,10,2.375
0,1.297,0,10,2.375
1,1.571,0,10,2.375
1,2.064,0,10,2.375
1,1.737,0,10,2.375
1,1.86,0,10,2.375
1,1.737,0,10,2.375
1,1.305,0,10,2.375
1,1.251,0,10,2.375
1,1.845,0,10,2.375
1,2.604,0,10,3.0
1,1.409,0,10,3.0
1,2.134,0,10,3.0
1,2.904,0,10,3.0
1,1.585,0,10,3.0
1,1.479,0,10,3.0
1,1.758,0,10,3.0
1,2.324,0,10,3.0
1,1.5,0,10,3.0
1,2.425,0,10,3.0
0,1.489,25,10,-3.0
0,2.24,25,10,-3.0
0,1.518,25,10,-3.0
0,1.344,25,10,-3.0
0,2.017,25,10,-3.0
0,2.658,25,10,-3.0
0,1.454,25,10,-3.0
0,2.116,25,10,-3.0
0,1.938,25,10,-3.0
0,1.966,25,10,-3.0
0,1.159,25,10,-2.375
0,1.472,25,10,-2.375
0,2.677,25,10,-2.375
0,1.617,25,10,-2.375
0,2.188,25,10,-2.375
0,2.112,25,10,-2.375
0,1.591,25,10,-2.375
0,1.962,25,10,-2.375
0,1.876,25,10,-2.375
0,1.461,25,10,-2.375
0,1.65,25,10,-1.75
0,5.505,25,10,-1.75
0,1.489,25,10,-1.75
0,1.746,25,10,-1.75
0,1.606,25,10,-1.75
0,1.4580000000000002,25,10,-1.75
0,2.491,25,10,-1.75
0,1.383,25,10,-1.75
0,2.38,25,10,-1.75
0,1.212,25,10,-1.75
0,2.735,25,10,-1.125
0,1.4780000000000002,25,10,-1.125
1,2.363,25,10,-1.125
0,1.817,25,10,-1.125
0,1.985,25,10,-1.125
0,2.136,25,10,-1.125
0,1.61,25,10,-1.125
0,1.55,25,10,-1.125
1,1.631,25,10,-1.125
0,2.031,25,10,-1.125
1,2.369,25,10,-0.5
0,2.131,25,10,-0.5
1,1.7719999999999998,25,10,-0.5
0,1.482,25,10,-0.5
0,1.548,25,10,-0.5
1,1.746,25,10,-0.5
0,4.895,25,10,-0.5
1,1.938,25,10,-0.5
0,2.181,25,10,-0.5
0,2.781,25,10,-0.5
0,5.1080000000000005,25,10,0.5
1,2.083,25,10,0.5
0,1.658,25,10,0.5
1,1.92,25,10,0.5
1,3.15,25,10,0.5
0,2.342,25,10,0.5
1,1.797,25,10,0.5
1,1.666,25,10,0.5
1,1.923,25,10,0.5
1,2.14,25,10,0.5
1,3.107,25,10,1.125
0,2.386,25,10,1.125
1,2.357,25,10,1.125
1,1.6669999999999998,25,10,1.125
1,2.167,25,10,1.125
1,2.252,25,10,1.125
1,1.75,25,10,1.125
1,2.337,25,10,1.125
0,2.7030000000000003,25,10,1.125
1,1.489,25,10,1.125
1,7.3279999999999985,25,10,1.75
1,3.077,25,10,1.75
1,1.497,25,10,1.75
0,3.5810000000000004,25,10,1.75
1,4.2639999999999985,25,10,1.75
1,3.49,25,10,1.75
1,2.338,25,10,1.75
1,1.761,25,10,1.75
1,2.027,25,10,1.75
1,1.486,25,10,1.75
1,2.614,25,10,2.375
1,4.0539999999999985,25,10,2.375
1,2.63,25,10,2.375
1,3.457,25,10,2.375
1,1.743,25,10,2.375
1,2.521,25,10,2.375
1,1.732,25,10,2.375
1,2.218,25,10,2.375
1,1.261,25,10,2.375
1,1.61,25,10,2.375
1,2.17,25,10,3.0
1,2.802,25,10,3.0
1,3.625,25,10,3.0
1,1.902,25,10,3.0
1,1.354,25,10,3.0
1,1.849,25,10,3.0
1,2.074,25,10,3.0
1,1.639,25,10,3.0
1,1.582,25,10,3.0
1,0.376,25,10,3.0
0,2.579,50,10,-3.0
0,1.4369999999999998,50,10,-3.0
0,1.817,50,10,-3.0
0,2.144,50,10,-3.0
0,2.273,50,10,-3.0
0,2.005,50,10,-3.0
0,4.327,50,10,-3.0
0,2.513,50,10,-3.0
0,2.184,50,10,-3.0
0,2.137,50,10,-3.0
0,2.313,50,10,-2.375
0,2.971,50,10,-2.375
0,1.4880000000000002,50,10,-2.375
0,1.375,50,10,-2.375
0,7.0520000000000005,50,10,-2.375
0,2.33,50,10,-2.375
0,1.899,50,10,-2.375
0,1.733,50,10,-2.375
0,1.456,50,10,-2.375
1,1.3030000000000002,50,10,-2.375
0,2.333,50,10,-1.75
0,2.58,50,10,-1.75
0,1.6030000000000002,50,10,-1.75
0,4.675,50,10,-1.75
0,1.736,50,10,-1.75
0,2.287,50,10,-1.75
0,1.82,50,10,-1.75
