yes-answer,time,distance,intensity,difference
0,1.178,0,10,-3.0
0,1.172,0,10,-3.0
0,1.143,0,10,-3.0
0,1.463,0,10,-3.0
0,1.112,0,10,-3.0
0,1.095,0,10,-3.0
0,1.23,0,10,-3.0
0,1.59,0,10,-3.0
0,3.362,0,10,-3.0
0,1.668,0,10,-2.375
0,1.352,0,10,-2.375
0,1.308,0,10,-2.375
0,1.249,0,10,-2.375
0,1.327,0,10,-2.375
0,1.135,0,10,-2.375
0,1.015,0,10,-2.375
0,1.171,0,10,-2.375
0,1.57,0,10,-1.75
0,1.2009999999999998,0,10,-1.75
0,2.171,0,10,-1.75
0,1.284,0,10,-1.75
1,1.475,0,10,-1.75
0,1.209,0,10,-1.75
1,1.344,0,10,-1.75
0,1.148,0,10,-1.75
0,1.102,0,10,-1.75
0,1.652,0,10,-1.75
0,1.077,0,10,-1.125
1,1.836,0,10,-1.125
0,1.3,0,10,-1.125
0,1.107,0,10,-1.125
0,1.5119999999999998,0,10,-1.125
1,1.24,0,10,-1.125
0,1.142,0,10,-1.125
0,1.252,0,10,-1.125
0,1.3530000000000002,0,10,-1.125
0,1.3090000000000002,0,10,-1.125
1,1.5830000000000002,0,10,-0.5
0,1.463,0,10,-0.5
0,1.614,0,10,-0.5
0,1.91,0,10,-0.5
1,1.29,0,10,-0.5
0,1.3219999999999998,0,10,-0.5
0,1.734,0,10,-0.5
1,1.188,0,10,-0.5
0,1.814,0,10,-0.5
0,1.581,0,10,-0.5
1,1.668,0,10,0.5
1,2.5810000000000004,0,10,0.5
0,3.059,0,10,0.5
1,2.15,0,10,0.5
1,2.527,0,10,0.5
1,2.173,0,10,0.5
1,2.511,0,10,0.5
1,2.445,0,10,0.5
1,1.338,0,10,0.5
1,1.103,0,10,0.5
1,1.869,0,10,1.125
1,1.531,0,10,1.125
1,1.649,0,10,1.125
1,1.93,0,10,1.125
1,2.885,0,10,1.125
1,1.817,0,10,1.125
1,1.15,0,10,1.125
0,1.544,0,10,1.125
1,1.536,0,10,1.125
1,1.919,0,10,1.125
1,2.194,0,10,1.75
1,2.013,0,10,1.75
1,15.561,0,10,1.75
1,1.659,0,10,1.75
1,2.065,0,10,1.75
1,1.321,0,10,1.75
1,1.59,0,10,1.75
1,2.017,0,10,1.75
1,2.208,0,10,1.75
1,1.953,0,10,1.75
1,3.855,0,10,2.375
1,2.589,0,10,2.375
1,2.228,0,10,2.375
1,2.14,0,10,2.375
1,1.413,0,10,2.375
1,1.818,0,10,2.375
1,1.329,0,10,2.375
1,1.6,0,10,2.375
1,2.003,0,10,2.375
1,1.5519999999999998,0,10,2.375
1,2.532,0,10,3.0
1,2.8960000000000004,0,10,3.0
1,1.263,0,10,3.0
1,3.03,0,10,3.0
1,1.499,0,10,3.0
1,1.456,0,10,3.0
1,1.676,0,10,3.0
1,0.939,0,10,3.0
1,1.546,0,10,3.0
1,2.36,0,10,3.0
0,1.803,25,10,-3.0
0,1.329,25,10,-3.0
1,1.346,25,10,-3.0
0,1.4980000000000002,25,10,-3.0
0,1.382,25,10,-3.0
0,1.457,25,10,-3.0
0,1.375,25,10,-3.0
0,1.229,25,10,-3.0
0,1.288,25,10,-2.375
0,1.281,25,10,-2.375
1,1.479,25,10,-2.375
0,1.457,25,10,-2.375
0,1.5759999999999998,25,10,-2.375
1,1.3230000000000002,25,10,-2.375
0,1.195,25,10,-2.375
0,1.405,25,10,-2.375
0,1.3630000000000002,25,10,-2.375
0,1.22,25,10,-1.75
0,1.53,25,10,-1.75
0,2.887,25,10,-1.75
0,1.459,25,10,-1.75
0,1.209,25,10,-1.75
0,1.529,25,10,-1.75
0,1.023,25,10,-1.75
0,3.205,25,10,-1.75
0,2.327,25,10,-1.75
0,0.313,25,10,-1.75
0,1.259,25,10,-1.125
0,1.445,25,10,-1.125
1,1.52,25,10,-1.125
1,1.662,25,10,-1.125
0,1.355,25,10,-1.125
1,1.285,25,10,-1.125
0,1.774,25,10,-1.125
0,1.414,25,10,-1.125
1,1.124,25,10,-1.125
0,1.155,25,10,-0.5
1,1.453,25,10,-0.5
0,1.477,25,10,-0.5
0,1.912,25,10,-0.5
1,1.457,25,10,-0.5
0,1.23,25,10,-0.5
0,1.775,25,10,-0.5
0,2.59,25,10,0.5
1,9.924,25,10,0.5
1,1.485,25,10,0.5
1,2.94,25,10,0.5
1,4.8610000000000015,25,10,0.5
1,2.855,25,10,0.5
0,2.197,25,10,0.5
0,1.495,25,10,0.5
0,2.7060000000000004,25,10,0.5
0,2.959,25,10,0.5
1,1.538,25,10,1.125
1,2.347,25,10,1.125
1,1.461,25,10,1.125
1,2.476,25,10,1.125
1,2.095,25,10,1.125
1,1.754,25,10,1.125
1,2.347,25,10,1.125
1,1.567,25,10,1.125
1,2.57,25,10,1.125
1,2.249,25,10,1.125
1,1.634,25,10,1.75
1,2.34,25,10,1.75
1,1.991,25,10,1.75
0,2.2030000000000003,25,10,1.75
1,2.754,25,10,1.75
1,1.831,25,10,1.75
1,35.968,25,10,1.75
1,1.4369999999999998,25,10,1.75
1,2.0980000000000003,25,10,1.75
1,3.139,25,10,2.375
1,1.81,25,10,2.375
1,1.346,25,10,2.375
1,2.96,25,10,2.375
1,1.63,25,10,2.375
1,1.5019999999999998,25,10,2.375
1,1.3030000000000002,25,10,2.375
1,1.694,25,10,2.375
1,1.867,25,10,2.375
1,1.1840000000000002,25,10,2.375
1,3.151,25,10,3.0
1,1.411,25,10,3.0
1,1.712,25,10,3.0
1,2.039,25,10,3.0
1,2.401,25,10,3.0
1,1.656,25,10,3.0
1,1.85,25,10,3.0
1,1.815,25,10,3.0
